 #  |            identifier             |typ|     coord1 (ICRS,J2000/2000)      |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|-----------------------------------|---------|---------|---------|---------|---------|---------------|----|----
43  |OGLE LMC174.3 20509                |WV*|085.0160579198900 -68.5527340560500|     ~   |     ~   |17.317   |     ~   |16.388   |~              |   7|   0
44  |OGLE MBR145.28.01231               |WV*|062.0622331930100 -71.3384851106200|     ~   |     ~   |18.351   |     ~   |17.628   |~              |   3|   0
45  |OGLE BLG-T2CEP-1037                |WV*|271.7674406150700 -16.8602719136900|     ~   |     ~   |     ~   |     ~   |16.876   |~              |   2|   0
46  |ATO J068.5397+53.3191              |WV*|068.5397859710267 +53.3191231718817|     ~   |     ~   |     ~   |15.274   |     ~   |~              |   2|   0
47  |[FRS2006] WeCAPP V13063            |WV*|010.742708 +41.276167              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
48  |[DHG2019] 902                      |WV*|265.31225 -30.05708                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
49  |OGLE BLG-T2CEP-1294                |WV*|275.92046 -22.45758                |     ~   |     ~   |     ~   |     ~   |15.347   |~              |   1|   0
50  |[DHG2019] 227                      |WV*|233.20367 -56.00864                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
51  |V* V2546 Sgr                       |WV*|276.5115186199500 -23.0038947236200|     ~   |     ~   |     ~   |14.60    |12.751   |~              |   8|   0
52  |[BCM2019] b333 16 39206            |WV*|265.764666 -29.435273              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
53  |OGLE GD-T2CEP-65                   |WV*|224.0899478362900 -62.7688886667600|     ~   |     ~   |16.716   |     ~   |14.415   |~              |   2|   0
54  |OGLE LMC-T2CEP-255                 |WV*|082.15158 -62.66336                |     ~   |     ~   |18.862   |     ~   |18.218   |~              |   1|   0
55  |OGLE BLG-T2CEP-214                 |WV*|269.4378502146600 -32.4200375517800|     ~   |     ~   |15.494   |     ~   |14.212   |~              |   8|   0
56  |OGLE BLG-T2CEP-670                 |WV*|266.2144040087000 -31.5325707738500|     ~   |     ~   |     ~   |     ~   |18.472   |~              |   6|   0
57  |Gaia DR3 4107979130308365824       |WV*|260.0873837369159 -27.5433183821494|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
58  |Gaia DR2 5809152454235466880       |WV*|249.2779009265800 -68.9463561429000|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
59  |OGLE BLG-T2CEP-624                 |WV*|265.6293214237299 -35.5406244939200|     ~   |     ~   |16.984   |     ~   |15.202   |~              |   5|   0
60  |V* V1766 Aql                       |WV*|286.9468045029000 +04.3250804785700|     ~   |     ~   |20.992   |     ~   |18.134   |~              |   1|   0
61  |OGLE BLG-T2CEP-458                 |WV*|263.6393885991399 -26.5910135996900|     ~   |     ~   |17.849   |     ~   |14.872   |~              |   6|   0
62  |[DHG2019] 554                      |WV*|256.94446 -42.37067                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
63  |OGLE BLG-T2CEP-845                 |WV*|269.5627267527800 -33.7410008172200|     ~   |     ~   |18.439   |     ~   |17.016   |~              |   5|   0
64  |[DHG2019] 950                      |WV*|266.02942 -28.11450                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
65  |ASAS J175843-3311.9                |WV*|269.6855558781199 -33.1995009069800|     ~   |     ~   |14.250   |13.885   |12.139   |~              |   7|   0
66  |OGLE GD-T2CEP-265                  |WV*|250.7290563973004 -38.5809062956414|     ~   |     ~   |16.581   |     ~   |15.076   |~              |   1|   0
67  |ASAS J193435-1921.7                |WV*|293.6444649582200 -19.3611086308400|     ~   |13.09    |12.76    |12.55    |     ~   |~              |   6|   0
68  |OGLE GD-T2CEP-76                   |WV*|236.2443218844100 -59.7201850923000|     ~   |     ~   |17.505   |     ~   |15.534   |~              |   2|   0
69  |Gaia DR3 5917521862152617472       |WV*|255.1601740215004 -56.0619221670925|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
70  |V* V5617 Sgr                       |WV*|269.50637 -28.99906                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
71  |OGLE GD-T2CEP-80                   |WV*|239.4113651553500 -60.8647933071900|     ~   |     ~   |17.189   |     ~   |15.953   |~              |   4|   0
72  |[DHG2019] 834                      |WV*|264.18904 -32.69108                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
73  |PSO J010.0719+40.5781              |WV*|010.07187205000 +40.57808369000    |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
74  |CRTS J231526.5-012228              |WV*|348.8605774392600 -01.3746294962900|     ~   |     ~   |17.57    |     ~   |     ~   |~              |   6|   0
75  |V* CO Tri                          |WV*|038.1173810987000 +32.1933281166500|     ~   |11.7     |     ~   |     ~   |     ~   |~              |   4|   0
76  |V* PP Aql                          |WV*|298.1939527810200 +12.6691673549200|     ~   |13.00    |12.11    |11.10    |     ~   |~              |  26|   0
77  |[FRS2006] WeCAPP V19444            |WV*|010.539875 +41.335333              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
78  |[DHG2019] 516                      |WV*|255.15300 -40.10319                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
79  |[DHG2019] 1008                     |WV*|267.09342 -28.83592                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
80  |[BCM2019] b333 114 93203           |WV*|266.254120 -28.953472              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
81  |[FRS2006] WeCAPP V12795            |WV*|010.537833 +41.272056              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
82  |TYC 8362-826-1                     |WV*|274.6445534916300 -47.5748580982500|     ~   |12.36    |11.59    |     ~   |     ~   |~              |   0|   0
83  |Gaia DR3 5985928910128221824       |WV*|236.4361884948700 -48.9395135751378|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
84  |[DHG2019] 802                      |WV*|263.37250 -30.15069                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
85  |[DHG2019] 576                      |WV*|257.97479 -36.45494                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
86  |V* CS Cas                          |WV*|357.5594067569400 +51.3996577620400|     ~   |12.02    |     ~   |     ~   |     ~   |~              |  28|   0
87  |Gaia DR3 514393423999534336        |WV*|036.0469570822642 +64.0444190850883|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
88  |OGLE BLG-T2CEP-37                  |WV*|266.0379301529251 -33.8752554359294|     ~   |     ~   |17.904   |     ~   |15.782   |~              |   6|   0
89  |OGLE BLG-T2CEP-527                 |WV*|264.4973765632200 -35.5413639694400|     ~   |     ~   |18.783   |     ~   |16.062   |~              |   5|   0
90  |CRTS J211255.1-240637              |WV*|318.2298803631979 -24.1109414250733|     ~   |16.078   |15.206   |15.048   |     ~   |~              |   2|   0
91  |OGLE BLG-T2CEP-1268                |WV*|270.61604 -41.78078                |     ~   |     ~   |     ~   |     ~   |16.087   |~              |   1|   0
92  |CRTS J115317.9-390043              |WV*|178.3253275412200 -39.0118382118228|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
93  |[DHG2019] 281                      |WV*|237.41183 -54.86319                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
94  |OGLE LMC-SC21 40876                |WV*|080.1041664817600 -70.1857616574200|     ~   |     ~   |14.767   |14.638   |14.374   |~              |  21|   0
95  |ATO J273.5107-04.5381              |WV*|273.5107599415300 -04.5381318959989|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
96  |VVV J172654.26-345358.3            |WV*|261.72608 -34.89953                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
97  |[DHG2019] 439                      |WV*|251.14729 -45.71247                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
98  |CRTS J213412.0-584555              |WV*|323.5503302301387 -58.7652335658608|     ~   |14.358   |13.463   |12.983   |     ~   |~              |   3|   0
99  |ZTF J210332.32+551237.4            |WV*|315.88467 +55.21041                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
100 |OGLE LMC-SC3 108113                |WV*|081.9991739958900 -69.3909796310600|     ~   |17.779   |17.092   |     ~   |16.120   |~              |  12|   0
101 |[DHG2019] 677                      |WV*|260.82312 -34.81292                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
102 |OGLE LMC113.4 436                  |WV*|078.07496 -70.25133                |     ~   |     ~   |18.685   |     ~   |18.096   |~              |   7|   0
103 |[DHG2019] 839                      |WV*|264.26887 -32.37272                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
104 |OGLE GD-T2CEP-252                  |WV*|244.98825 -59.48797                |     ~   |     ~   |19.189   |     ~   |17.567   |~              |   1|   0
105 |PSO J011.0337+41.5401              |WV*|011.03366053000 +41.54016075000    |     ~   |     ~   |     ~   |     ~   |21.664   |~              |   2|   0
106 |Gaia DR3 2028221928150489728       |WV*|296.8437753050521 +27.8598161658100|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
107 |PSO J010.5280+41.2173              |WV*|010.52803876000 +41.21719663000    |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
