  #  |            identifier             |typ|     coord1 (ICRS,J2000/2000)      |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
-----|-----------------------------------|---|-----------------------------------|---------|---------|---------|---------|---------|---------------|----|----
2290 |OGLE GD-CEP-479                    |cC*|154.5966071902400 -58.1116291410600|     ~   |     ~   |21.403   |     ~   |16.600   |~              |   5|   0
2291 |[DCT2018] F20a 24638               |cC*|113.0450565686500 -32.0990476028800|     ~   |13.211   |11.354   |10.85    |9.70     |~              |   5|   0
2292 |SV* HV 943                         |cC*|080.5947884798200 -68.9581133811100|     ~   |     ~   |15.243   |     ~   |14.373   |~              |   4|   0
2293 |OGLE GD-CEP-1605                   |cC*|111.7013645788871 -21.0162047253581|     ~   |     ~   |15.796   |     ~   |14.476   |~              |   1|   0
2294 |ATO J315.4723+46.4823              |cC*|315.4723827529499 +46.4823887712389|     ~   |     ~   |     ~   |15.134   |     ~   |~              |   4|   0
2295 |OGLE SMC-CEP-4550                  |cC*|019.4239461415500 -72.3873651494800|     ~   |     ~   |17.261   |     ~   |16.621   |~              |   4|   0
2296 |[DHG2019] 1171                     |cC*|269.77046 -22.59411                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
2297 |OGLE LMC-CEP-2195                  |cC*|082.6407562464800 -70.8178307544400|     ~   |     ~   |15.852   |     ~   |15.238   |~              |   6|   0
2298 |OGLE SMC-CEP-2802                  |cC*|014.5648529453800 -73.3085851259700|     ~   |     ~   |17.940   |     ~   |17.274   |~              |   6|   0
2299 |OGLE SMC-CEP-910                   |cC*|011.6954924344800 -73.4073837181200|     ~   |17.316   |16.844   |     ~   |16.218   |~              |   6|   0
2300 |OGLE BLG-T2CEP-943                 |cC*|255.8651180816091 -34.3902326818908|     ~   |     ~   |     ~   |     ~   |15.424   |~              |   2|   0
2301 |V* IR Cep                          |cC*|329.4663557940600 +61.0188630495700|     ~   |8.68     |7.86     |     ~   |     ~   |G0             | 101|   0
2302 |OGLE LMC-CEP-880                   |cC*|076.2729640267100 -69.2514150535100|     ~   |     ~   |16.904   |     ~   |16.174   |~              |   8|   0
2303 |* x Car                            |cC*|167.1474531910000 -58.9750386334922|6.07     |5.09     |3.83     |2.86     |2.27     |G5_0-Ia        | 153|   0
2304 |OGLE SMC-CEP-3051                  |cC*|014.9641257879800 -73.1152523277300|     ~   |18.499   |18.109   |     ~   |17.439   |~              |   6|   0
2305 |OGLE SMC-CEP-85                    |cC*|007.0069424085700 -73.4098320879300|16.96    |17.93    |16.81    |     ~   |16.44    |~              |   6|   0
2306 |OGLE LMC-CEP-3787                  |cC*|078.9594184465200 -64.4538184943300|     ~   |15.885   |15.526   |15.582   |15.029   |~              |   4|   0
2307 |SV* HV 2337                        |cC*|077.4040000889200 -68.0454613970200|     ~   |     ~   |15.050   |     ~   |14.291   |~              |  27|   0
2308 |OGLE GD-CEP-600                    |cC*|163.3078870681800 -59.5323611900600|     ~   |     ~   |16.169   |     ~   |13.349   |~              |   5|   0
2309 |OGLE LMC-CEP-2367                  |cC*|083.3947754605000 -68.6766070479800|     ~   |     ~   |17.162   |     ~   |16.447   |~              |   6|   0
2310 |OGLE GD-CEP-348                    |cC*|139.9848928300200 -54.4428087032800|     ~   |     ~   |15.763   |     ~   |14.246   |~              |   7|   0
2311 |OGLE LMC-CEP-3740                  |cC*|078.4167870126200 -65.5147321913300|     ~   |     ~   |15.642   |     ~   |15.154   |~              |   6|   0
2312 |OGLE LMC-CEP-54                    |cC*|071.0255140559900 -70.0955098103000|     ~   |     ~   |15.904   |     ~   |15.218   |~              |   5|   0
2313 |OGLE SMC-CEP-4261                  |cC*|017.8209304727800 -73.8638347411500|     ~   |     ~   |16.081   |     ~   |15.539   |~              |   4|   0
2314 |PSO J010.3681+40.7161              |cC*|010.36815521000 +40.71610699000    |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
2315 |OGLE LMC-CEP-4217                  |cC*|084.4349800662800 -67.3132013405100|     ~   |     ~   |14.857   |     ~   |14.193   |~              |   4|   0
2316 |OGLE GD-CEP-312                    |cC*|135.5762964146100 -53.2839098190400|     ~   |     ~   |14.504   |     ~   |13.035   |~              |   4|   0
2317 |SV* HV 2000                        |cC*|016.4299243910300 -72.1877684059400|     ~   |16.823   |16.302   |     ~   |15.623   |~              |   9|   0
2318 |SV* HV 2636                        |cC*|082.9611368663300 -67.6327404993900|     ~   |     ~   |15.660   |     ~   |14.975   |~              |   7|   0
2319 |V* V514 Cyg                        |cC*|311.5522928747700 +45.4786159105400|     ~   |12.57    |11.84    |     ~   |     ~   |K3             |  46|   0
2320 |OGLE LMC-CEP-582                   |cC*|074.8782977828000 -68.1487069438000|     ~   |     ~   |16.161   |     ~   |15.346   |~              |   8|   0
2321 |ATO J275.6790-07.1077              |cC*|275.6790800769038 -07.1077124240631|     ~   |     ~   |     ~   |     ~   |15.512   |~              |   3|   0
2322 |SV* HV 2378                        |cC*|078.4601156424200 -69.0836924992000|     ~   |     ~   |15.936   |     ~   |15.244   |~              |  17|   0
2323 |OGLE SMC-CEP-3213                  |cC*|015.2626161926800 -72.9816146018600|     ~   |     ~   |16.515   |     ~   |16.053   |~              |   5|   0
2324 |OGLE LMC-CEP-3452                  |cC*|073.4615317823900 -74.6338952806000|     ~   |     ~   |16.923   |     ~   |16.347   |~              |   5|   0
2325 |OGLE SMC-CEP-2193                  |cC*|013.5547984343000 -73.6695740618900|     ~   |     ~   |17.604   |     ~   |17.036   |~              |   4|   0
2326 |OGLE SMC-CEP-292                   |cC*|009.6861578161200 -72.7869443218800|     ~   |     ~   |18.168   |     ~   |17.518   |~              |   5|   0
2327 |UCAC4 755-077772                   |cC*|347.8669147864929 +60.9879243503250|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
2328 |OGLE SMC-CEP-2626                  |cC*|014.2643103195200 -73.7710220984100|     ~   |     ~   |17.234   |     ~   |16.550   |~              |   4|   0
2329 |OGLE LMC-CEP-2263                  |cC*|082.9025833880200 -69.9453457873500|     ~   |15.82    |15.339   |14.94    |14.677   |~              |  11|   0
2330 |OGLE LMC-CEP-3464                  |cC*|073.7951770164600 -65.4009023475800|     ~   |     ~   |15.227   |     ~   |14.538   |~              |   8|   0
2331 |OGLE GD-CEP-149                    |cC*|119.1538867351000 -30.9528028300700|     ~   |     ~   |14.515   |     ~   |12.857   |~              |   9|   0
2332 |ATO J287.1801+14.6129              |cC*|287.1801396153929 +14.6129625990978|     ~   |     ~   |     ~   |15.362   |14.649   |~              |   6|   0
2333 |OGLE LMC-CEP-2182                  |cC*|082.5687132301800 -70.8249653728700|     ~   |     ~   |16.807   |     ~   |16.157   |~              |   4|   0
2334 |OGLE SMC-CEP-345                   |cC*|010.0513853547846 -73.8424936327014|     ~   |     ~   |17.740   |     ~   |17.281   |~              |   4|   0
2335 |OGLE SMC-CEP-261                   |cC*|009.39404 -73.76947                |     ~   |     ~   |17.261   |     ~   |16.745   |~              |   4|   0
2336 |OGLE LMC-CEP-2727                  |cC*|084.6292084502500 -69.4913237853500|     ~   |     ~   |17.108   |     ~   |16.044   |~              |   9|   0
2337 |V* NO Cas                          |cC*|006.0193590893800 +61.3416477305900|13.22    |12.506   |11.393   |11.062   |     ~   |G:I:e:         |  29|   0
2338 |PSO J011.2478+42.2547              |cC*|011.2477570283100 +42.2547182306800|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
2339 |ROTSE1 J140611.16+355148.2         |cC*|211.5464674563200 +35.8633526418600|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   4|   0
2340 |OGLE LMC-CEP-2020                  |cC*|081.7392672751300 -68.0180209353500|     ~   |     ~   |16.850   |     ~   |16.281   |~              |   4|   0
2341 |OGLE SMC-CEP-4231                  |cC*|017.7076871207200 -73.2897216819500|     ~   |     ~   |17.243   |     ~   |16.760   |~              |   3|   0
2342 |Gaia DR3 6054367392931099904       |cC*|182.1706868188041 -62.9985822649575|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
2343 |OGLE SMC-CEP-1278                  |cC*|012.3006438433200 -72.5961072451900|     ~   |     ~   |16.122   |     ~   |15.495   |~              |   5|   0
2344 |OGLE SMC-CEP-4315                  |cC*|017.9898142626700 -73.3523760996100|     ~   |     ~   |17.608   |     ~   |16.998   |~              |   5|   0
2345 |TYC 8323-2014-1                    |cC*|242.4842231606099 -52.0491935691700|     ~   |11.78    |11.44    |     ~   |     ~   |~              |   1|   0
2346 |SV* HV 10355                       |cC*|012.2725856716000 -73.0698634993600|     ~   |16.009   |15.322   |     ~   |14.507   |~              |  16|   0
2347 |V* GL Cyg                          |cC*|300.8945875854599 +39.1596480429600|     ~   |14.20    |13.11    |     ~   |     ~   |F5             |  46|   0
2348 |ASAS J065413+0756.5                |cC*|103.5563829260500 +07.9414193171800|     ~   |12.05    |11.362   |     ~   |     ~   |~              |   6|   0
2349 |OGLE SMC-CEP-4220                  |cC*|017.6625178025300 -72.8027601530900|     ~   |     ~   |16.273   |     ~   |15.517   |~              |   8|   0
2350 |OGLE LMC-CEP-917                   |cC*|076.4332911794800 -68.9975503105500|     ~   |17.55    |16.920   |16.64    |16.233   |~              |   9|   0
2351 |V* QY Cen                          |cC*|212.0713764318100 -61.7364258857900|     ~   |     ~   |     ~   |11.108   |9.347    |~              |  59|   0
2352 |EV* M31 V0304                      |cC*|010.09571 +40.74517                |     ~   |     ~   |21.90    |     ~   |     ~   |~              |   3|   0
2353 |OGLE LMC563.04.000013              |cC*|088.6373962832900 -66.7063326160400|     ~   |     ~   |     ~   |     ~   |13.757   |~              |   2|   0
2354 |OGLE SMC-CEP-3450                  |cC*|015.7529183527000 -73.3047937108100|     ~   |     ~   |17.462   |     ~   |16.773   |~              |   5|   0
2355 |OGLE SMC-CEP-4268                  |cC*|017.8498897303100 -72.4507807660600|     ~   |     ~   |17.313   |     ~   |16.802   |~              |   5|   0
2356 |OGLE BLG-CEP-11                    |cC*|268.3110105193699 -34.2624587836000|     ~   |     ~   |16.057   |     ~   |14.421   |~              |   6|   0
2357 |GAPO 103                           |cC*|010.19682146000 +40.92881058000    |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   4|   0
2358 |OGLE LMC-CEP-1336                  |cC*|078.7232608842800 -71.1910272922800|     ~   |     ~   |16.468   |     ~   |15.843   |~              |   5|   0
2359 |[DHG2019] 639                      |cC*|260.17446 -35.88419                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
2360 |V* V410 Sgr                        |cC*|286.5130755878000 -18.4282381208500|     ~   |     ~   |     ~   |     ~   |11.78    |F6             |  22|   0
2361 |OGLE LMC-CEP-1975                  |cC*|081.4986320233000 -70.7872401467400|     ~   |     ~   |17.170   |     ~   |16.478   |~              |   5|   0
2362 |[DHG2019] 76                       |cC*|208.22192 -62.14450                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
2363 |ATO J329.0254+56.7550              |cC*|329.0254903283225 +56.7550628470569|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   3|   0
2364 |[DHG2019] 109                      |cC*|214.13942 -60.62644                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
2365 |OGLE GD-CEP-941                    |cC*|204.9897902279800 -63.7964915836700|     ~   |     ~   |19.056   |     ~   |15.841   |~              |   5|   0
2366 |OGLE SMC-CEP-2761                  |cC*|014.4916781733500 -73.7215683100200|     ~   |     ~   |17.264   |     ~   |16.663   |~              |   4|   0
2367 |BASW 250                           |cC*|010.0185313642238 +40.5768217925247|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   3|   0
2368 |OGLE GD-CEP-1668                   |cC*|157.7169915838263 -59.2266466748906|     ~   |     ~   |16.817   |     ~   |14.292   |~              |   2|   0
2369 |[DMM2015] 22                       |cC*|267.93250 -26.51981                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   4|   0
2370 |OGLE SMC-CEP-828                   |cC*|011.5431616543300 -73.0155350566500|     ~   |17.688   |17.283   |     ~   |16.679   |~              |   7|   0
2371 |V* CO Sct                          |cC*|280.8587782763600 -10.7409204045400|     ~   |15.01    |     ~   |     ~   |12.296   |~              |  13|   0
2372 |OGLE LMC-CEP-3574                  |cC*|076.3870089082500 -65.9850628592000|     ~   |     ~   |14.452   |     ~   |13.856   |~              |   4|   0
2373 |2MASS J01334384+3032450            |cC*|023.4327502892000 +30.5458478512600|20.285   |19.627   |18.505   |17.957   |17.403   |~              |   7|   0
2374 |OGLE LMC-CEP-2444                  |cC*|083.6605024491200 -70.0788739029300|     ~   |16.429   |15.874   |     ~   |15.196   |~              |  10|   0
2375 |SV* DV 268                         |cC*|073.3907157754200 -69.7592940904100|     ~   |     ~   |16.049   |     ~   |15.270   |~              |  12|   0
2376 |OGLE LMC-CEP-539                   |cC*|074.6719788082400 -68.8651909605500|     ~   |     ~   |16.065   |     ~   |15.328   |~              |  11|   0
2377 |OGLE SMC-CEP-2383                  |cC*|013.8435486362500 -73.6250349093700|     ~   |     ~   |17.859   |     ~   |17.370   |~              |   3|   0
2378 |OGLE LMC-CEP-3                     |cC*|068.7737998200900 -70.4241388263400|     ~   |     ~   |18.359   |     ~   |17.847   |~              |   4|   0
2379 |ATO J309.3910+38.0616              |cC*|309.3910592902004 +38.0616867889211|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
2380 |OGLE SMC-CEP-1666                  |cC*|012.8398288656896 -73.5969395612256|     ~   |     ~   |18.250   |     ~   |17.663   |~              |   3|   0
2381 |ZTF J002342.50+635427.8            |cC*|005.9270987023954 +63.9077173725219|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
2382 |V* V351 Cep                        |cC*|338.4222877599800 +57.3183055771500|     ~   |10.39    |9.50     |     ~   |     ~   |F8Ib           |  55|   0
2383 |D33 J013330.2+303637.4             |cC*|023.3753725537400 +30.6105600110300|     ~   |21.029   |19.941   |     ~   |18.996   |~              |   8|   0
2384 |EV* U12613 V0026                   |cC*|352.15417 +14.74947                |     ~   |     ~   |22.00    |     ~   |     ~   |~              |   1|   0
2385 |SV* HV 5938                        |cC*|083.5314532444300 -68.7268655695900|     ~   |     ~   |15.754   |     ~   |14.942   |~              |  11|   0
2386 |OGLE LMC-CEP-2776                  |cC*|084.7989633690233 -71.2265603021339|     ~   |     ~   |17.045   |     ~   |16.484   |~              |   4|   0
2387 |OGLE LMC-CEP-93                    |cC*|071.9908521924900 -70.3259798683500|     ~   |     ~   |16.392   |     ~   |15.587   |~              |   6|   0
2388 |OGLE SMC-CEP-998                   |cC*|011.88371 -73.19797                |     ~   |     ~   |17.926   |     ~   |17.380   |~              |   3|   0
2389 |V* V2733 Oph                       |cC*|262.8411683141500 -17.7276452514000|     ~   |     ~   |     ~   |13.67    |13.204   |~              |   4|   0
2390 |[VRJ2006] M31V-J00435163+4137135   |cC*|010.9650783878500 +41.6204396824200|     ~   |21.370   |20.470   |     ~   |19.904   |~              |   5|   0
2391 |V* BE Pup                          |cC*|113.3979284478900 -25.8436744615900|     ~   |     ~   |13.675   |     ~   |12.362   |~              |  31|   0
2392 |SV* HV 2022                        |cC*|016.6250709359200 -72.0207626761200|     ~   |     ~   |17.450   |     ~   |16.913   |~              |   5|   0
2393 |Gaia DR3 5923178956873702144       |cC*|259.1030375468816 -54.0897359479658|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
2394 |OGLE LMC-CEP-3282                  |cC*|088.2394326412033 -70.6017244092667|     ~   |     ~   |17.090   |     ~   |16.493   |~              |   6|   0
2395 |OGLE SMC-CEP-2148                  |cC*|013.4909585591900 -73.0521260340200|     ~   |17.994   |17.664   |     ~   |17.098   |~              |   4|   0
2396 |OGLE SMC-CEP-4985                  |cC*|029.1990537604200 -73.8270095392700|     ~   |     ~   |14.929   |     ~   |14.100   |~              |   2|   0
2397 |OGLE GD-CEP-663                    |cC*|171.4930013699804 -61.7385593224292|     ~   |     ~   |19.421   |     ~   |15.638   |~              |   5|   0
2398 |OGLE SMC-CEP-4500                  |cC*|018.9634987015500 -71.7040531717300|     ~   |     ~   |17.554   |     ~   |16.992   |~              |   4|   0
2399 |OGLE BLG-CEP-94                    |cC*|269.5167703362740 -27.7045134783025|     ~   |     ~   |19.784   |     ~   |17.316   |~              |   5|   0
2400 |OGLE LMC-CEP-330                   |cC*|073.6021293023500 -68.7754317176200|     ~   |     ~   |16.473   |     ~   |15.711   |~              |   5|   0
2401 |OGLE LMC-CEP-2323                  |cC*|083.1920062652600 -69.8714427439800|     ~   |16.995   |16.493   |     ~   |15.718   |~              |   9|   0
2402 |OGLE LMC-CEP-4413                  |cC*|087.0131138592600 -67.2079054365000|     ~   |     ~   |15.521   |     ~   |14.754   |~              |   6|   0
2403 |[DHG2019] 510                      |cC*|254.59062 -42.49081                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
2404 |SV* HV 12447                       |cC*|071.8506574018600 -69.7219587929600|     ~   |16.36    |15.970   |15.29    |15.176   |~              |  13|   0
2405 |OGLE SMC-CEP-2006                  |cC*|013.2915421786300 -72.4709808652400|     ~   |     ~   |17.481   |     ~   |16.792   |~              |   5|   0
2406 |OGLE LMC-CEP-517                   |cC*|074.5693227335000 -70.6297765198200|     ~   |     ~   |15.135   |     ~   |14.582   |~              |   7|   0
2407 |OGLE SMC-CEP-3408                  |cC*|015.6621905401400 -73.1819250260300|     ~   |     ~   |17.165   |     ~   |16.569   |~              |   6|   0
2408 |OGLE LMC-CEP-1338                  |cC*|078.7375916387300 -68.9441090040000|     ~   |     ~   |16.125   |     ~   |15.374   |~              |  14|   0
2409 |OGLE SMC-CEP-3588                  |cC*|016.0376080044100 -72.4943842628600|     ~   |16.253   |15.710   |     ~   |14.970   |~              |  10|   0
2410 |OGLE GD-CEP-1017                   |cC*|226.4836948230200 -58.1787721002900|     ~   |     ~   |     ~   |     ~   |16.106   |~              |   7|   0
2411 |OGLE GD-CEP-221                    |cC*|126.5984450591100 -42.3301035935900|     ~   |     ~   |15.383   |     ~   |12.727   |~              |   5|   0
2412 |ATO J341.2351+60.4715              |cC*|341.2351308258346 +60.4715104798233|     ~   |16.625   |14.782   |14.256   |     ~   |~              |   3|   0
2413 |SV* HV 2630                        |cC*|082.9345185467100 -69.9698076408000|     ~   |16.47    |15.879   |15.50    |15.214   |~              |  16|   0
2414 |OGLE SMC-CEP-4839                  |cC*|018.6852239820600 -75.1274170743700|     ~   |     ~   |16.914   |     ~   |16.296   |~              |   2|   0
2415 |OGLE SMC-CEP-732                   |cC*|011.3103047310500 -73.4907483845100|     ~   |17.937   |17.484   |     ~   |16.848   |~              |   7|   0
2416 |V* BB Gem                          |cC*|098.6470579926700 +13.0790855591600|     ~   |11.85    |11.16    |     ~   |     ~   |~              |  77|   0
2417 |OGLE LMC-CEP-3891                  |cC*|080.2314684010800 -66.6620469882900|     ~   |     ~   |14.217   |     ~   |13.098   |~              |   9|   0
2418 |OGLE LMC-CEP-3938                  |cC*|080.7471997988500 -65.1746245226900|     ~   |     ~   |16.195   |     ~   |15.504   |~              |   7|   0
2419 |OGLE LMC-CEP-4425                  |cC*|087.1256046127500 -66.6546540872600|     ~   |     ~   |17.471   |     ~   |16.926   |~              |   4|   0
2420 |SV* HV 828                         |cC*|012.4770878933700 -73.2231037840900|     ~   |16.065   |15.207   |     ~   |14.163   |~              |  15|   0
2421 |OGLE LMC-CEP-4314                  |cC*|085.7201080351900 -67.2886956230600|     ~   |     ~   |15.594   |     ~   |15.035   |~              |   5|   0
2422 |OGLE SMC-CEP-1574                  |cC*|012.7350501333200 -73.8191221488600|     ~   |     ~   |17.744   |     ~   |17.126   |~              |   4|   0
2423 |PSO J009.7838+40.6074              |cC*|009.7838157693000 +40.6074074161900|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
2424 |OGLE GD-CEP-1834                   |cC*|123.65129 -34.00328                |     ~   |     ~   |13.889   |     ~   |13.369   |~              |   1|   0
2425 |OGLE GD-CEP-1196                   |cC*|253.6239248366891 -41.2746861329308|     ~   |     ~   |18.629   |     ~   |16.372   |~              |   6|   0
2426 |OGLE SMC-CEP-4651                  |cC*|003.9858363331700 -73.0081334820900|     ~   |     ~   |16.461   |     ~   |15.835   |~              |   4|   0
2427 |OGLE SMC-CEP-4654                  |cC*|004.4819346237000 -73.3519969203700|     ~   |     ~   |17.271   |     ~   |16.647   |~              |   3|   0
2428 |PSO J010.7169+41.0371              |cC*|010.71698637000 +41.03719932000    |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
2429 |PSO J011.4610+41.9714              |cC*|011.46106010000 +41.97143418000    |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
2430 |OGLE LMC-CEP-2575                  |cC*|084.1634885557100 -67.9962477493300|     ~   |     ~   |16.527   |     ~   |15.855   |~              |   5|   0
2431 |GAPO 31                            |cC*|010.1503278770700 +40.6545102689300|     ~   |     ~   |20.61    |     ~   |19.45    |~              |   6|   0
2432 |OGLE SMC-CEP-3470                  |cC*|015.8009291075563 -73.3206403590992|     ~   |     ~   |17.487   |     ~   |16.846   |~              |   4|   0
2433 |PSO J010.1818+40.6010              |cC*|010.18177258000 +40.60101584000    |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
2434 |V* UY Per                          |cC*|038.6304175681300 +58.8316229144100|     ~   |12.46    |11.18    |     ~   |9.431    |F7             | 128|   0
2435 |OGLE LMC-CEP-2918                  |cC*|085.3085075610400 -70.9342709874800|     ~   |     ~   |16.204   |     ~   |15.361   |~              |  11|   0
2436 |ZTF J193020.52+190218.5            |cC*|292.5855177625754 +19.0384958518531|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
2437 |OGLE SMC-CEP-2856                  |cC*|014.6555129161800 -73.2132555627700|     ~   |     ~   |17.356   |     ~   |16.766   |~              |   4|   0
2438 |OGLE GD-CEP-188                    |cC*|123.3512996861500 -42.2756886440300|     ~   |     ~   |16.739   |     ~   |14.996   |~              |   7|   0
2439 |OGLE LMC-CEP-1280                  |cC*|078.4098289882300 -70.3417055706700|     ~   |     ~   |15.504   |     ~   |14.794   |~              |   6|   0
2440 |OGLE LMC-CEP-678                   |cC*|075.3058487340100 -68.2780308277100|     ~   |     ~   |17.499   |     ~   |16.907   |~              |   5|   0
2441 |OGLE SMC-CEP-3335                  |cC*|015.5063696616000 -72.9830068720600|     ~   |17.714   |17.310   |     ~   |16.652   |~              |   6|   0
2442 |OGLE SMC-CEP-4371                  |cC*|018.2792168687200 -72.7680885926900|     ~   |     ~   |17.450   |     ~   |16.901   |~              |   4|   0
2443 |OGLE SMC-CEP-2114                  |cC*|013.4411277696100 -72.5384785450600|     ~   |17.966   |17.624   |     ~   |17.098   |~              |   5|   0
2444 |OGLE LMC-CEP-3824                  |cC*|079.2547419322700 -66.1429188180100|     ~   |     ~   |15.670   |     ~   |15.091   |~              |   5|   0
2445 |OGLE LMC-CEP-1076                  |cC*|077.1601533764200 -68.5115183927100|     ~   |     ~   |15.859   |     ~   |15.066   |~              |  10|   0
2446 |SV* HV 2277                        |cC*|075.4664708979800 -69.3895056375700|     ~   |15.06    |14.480   |14.03    |13.695   |~              |  23|   0
2447 |PSO J010.1328+40.7127              |cC*|010.1326135869800 +40.7126627351900|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
2448 |OGLE GD-CEP-409                    |cC*|147.8495097282400 -53.1926194023400|     ~   |     ~   |15.865   |     ~   |13.275   |~              |   4|   0
2449 |SV* HV 1814                        |cC*|014.9866037261500 -72.9579863218800|     ~   |17.787   |17.347   |     ~   |16.704   |~              |   8|   0
2450 |V* SZ Aql                          |cC*|286.1642325961800 +01.3061552295900|     ~   |9.92     |7.92     |     ~   |7.039    |F8/G0Ib        | 197|   0
2451 |[DHG2019] 1142                     |cC*|269.21704 -23.82089                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
2452 |ASAS J064727+0411.4                |cC*|101.8602372995000 +04.1909156692700|     ~   |12.40    |11.504   |     ~   |10.522   |~              |  10|   0
2453 |PSO J009.9328+40.4860              |cC*|009.93278855000 +40.48604723000    |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
2454 |OGLE LMC-CEP-1914                  |cC*|081.2672577820100 -70.1081682657200|     ~   |16.57    |15.772   |15.31    |14.912   |~              |  14|   0
2455 |OGLE GD-CEP-1788                   |cC*|277.1406722968091 -10.4617357068875|     ~   |     ~   |     ~   |     ~   |15.161   |~              |   2|   0
2456 |[MAP97] 38                         |cC*|010.53003 +40.95214                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
2457 |[VRJ2006] M31V-J00451029+4153098   |cC*|011.2929219501400 +41.8860802746000|     ~   |21.259   |20.559   |     ~   |     ~   |~              |   2|   0
2458 |OGLE LMC-CEP-2467                  |cC*|083.7909779468792 -70.2459399980817|     ~   |     ~   |16.898   |     ~   |16.154   |~              |   7|   0
2459 |OGLE LMC-CEP-1357                  |cC*|078.8066689663454 -68.8805785737136|     ~   |16.583   |15.925   |     ~   |15.163   |~              |  12|   0
2460 |OGLE SMC-CEP-3267                  |cC*|015.3783433678600 -73.4175614543700|     ~   |     ~   |16.065   |     ~   |15.397   |~              |   8|   0
2461 |OGLE LMC-CEP-2767                  |cC*|084.7392356608500 -70.5743456746300|     ~   |     ~   |15.742   |     ~   |14.978   |~              |   8|   0
2462 |ATO J288.9118+15.6438              |cC*|288.9118569730842 +15.6438334559306|     ~   |16.241   |14.153   |13.546   |11.908   |~              |   4|   0
2463 |OGLE LMC-CEP-3308                  |cC*|088.9882184790800 -69.5351556479100|     ~   |     ~   |16.262   |     ~   |15.641   |~              |   6|   0
2464 |Gaia DR3 4504140724532384640       |cC*|281.3572553635349 +11.6729672669842|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
2465 |OGLE GD-CEP-660                    |cC*|171.0080975602500 -64.0744255240000|     ~   |     ~   |18.848   |     ~   |16.188   |~              |   4|   0
2466 |OGLE LMC-CEP-1479                  |cC*|079.2908797492300 -69.3483195773500|     ~   |16.809   |16.322   |     ~   |15.622   |~              |  11|   0
2467 |OGLE SMC-CEP-1770                  |cC*|012.9810793398200 -72.7129063523900|     ~   |17.813   |17.469   |     ~   |16.673   |~              |   7|   0
2468 |ASASSN-V J144155.63-193758.2       |cC*|220.4818456165700 -19.6327589391800|     ~   |12.23    |12.17    |     ~   |     ~   |~              |   4|   0
2469 |[DHG2019] 596                      |cC*|259.08279 -37.70650                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
2470 |V* EU Tau                          |cC*|086.4188702312800 +18.6568944308300|     ~   |8.71     |8.08     |     ~   |     ~   |G5             | 122|   0
2471 |SV* HV 2466                        |cC*|080.1558002489900 -69.5157350174500|     ~   |15.61    |14.833   |14.41    |13.957   |~              |  21|   0
2472 |SV* HV 1906                        |cC*|015.5916564071700 -71.1689795459800|     ~   |     ~   |16.242   |     ~   |15.54    |F              |  13|   0
2473 |[DHG2019] 583                      |cC*|258.37542 -38.69944                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
2474 |[DCT2018] F20b 05180               |cC*|111.658877400 -31.376598700        |     ~   |14.80    |13.82    |13.71    |     ~   |~              |   1|   0
2475 |V* FR Car                          |cC*|168.5883999425900 -60.0529251911900|     ~   |10.7     |9.64     |     ~   |     ~   |G5             |  90|   0
2476 |OGLE SMC-CEP-4131                  |cC*|017.3767919773200 -71.8065695660900|     ~   |     ~   |16.603   |     ~   |16.126   |~              |   4|   0
2477 |SV* HV 987                         |cC*|082.5580239348921 -70.0636858015872|     ~   |16.75    |16.021   |15.75    |15.439   |~              |  14|   0
