  #  |            identifier             |typ|     coord1 (ICRS,J2000/2000)      |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
-----|-----------------------------------|---|-----------------------------------|---------|---------|---------|---------|---------|---------------|----|----
43   |OGLE GD-CEP-1182                   |cC*|251.7324465578400 -44.8411702681200|     ~   |     ~   |16.904   |     ~   |12.635   |~              |   4|   0
44   |OGLE GD-CEP-9                      |cC*|164.7434468628800 -61.8717576493300|     ~   |     ~   |17.780   |     ~   |15.513   |~              |   6|   0
45   |PSO J009.9941+40.7013              |cC*|009.99403429000 +40.70132748000    |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
46   |SV* HV 5757                        |cC*|079.9324525266600 -69.3816201963500|     ~   |     ~   |15.157   |     ~   |14.601   |~              |  10|   0
47   |OGLE LMC-CEP-3757                  |cC*|078.5799457813100 -65.4414537706300|     ~   |     ~   |16.946   |     ~   |16.341   |~              |   5|   0
48   |OGLE SMC-CEP-3088                  |cC*|015.0465791508400 -72.9216483082700|     ~   |17.319   |16.755   |     ~   |16.000   |~              |   8|   0
49   |[DHG2019] 186                      |cC*|227.70408 -58.61842                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
50   |SV* HV 1950                        |cC*|015.9279882721700 -71.8735616888600|     ~   |     ~   |15.167   |     ~   |14.463   |F              |  11|   0
51   |OGLE SMC-CEP-4910                  |cC*|024.1108874865900 -75.1254454271800|     ~   |     ~   |17.414   |     ~   |16.751   |~              |   5|   0
52   |OGLE LMC-CEP-4067                  |cC*|082.5119101512200 -66.4730263283200|     ~   |     ~   |15.344   |     ~   |14.541   |~              |   5|   0
53   |[DHG2019] 319                      |cC*|241.74167 -52.15936                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
54   |OGLE GD-CEP-1431                   |cC*|285.78863 +09.31392                |     ~   |     ~   |     ~   |     ~   |16.761   |~              |   3|   0
55   |PSO J009.8489+40.3663              |cC*|009.8489005151300 +40.3662920471800|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
56   |ZTF J194353.64+242422.1            |cC*|295.9735276390387 +24.4061448905314|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
57   |[DHG2019] 973                      |cC*|266.49033 -29.79000                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
58   |OGLE BLG-T2CEP-1012                |cC*|267.3253800676000 -18.3550815408400|     ~   |     ~   |     ~   |15.988   |14.560   |~              |   3|   0
59   |OGLE SMC-CEP-2183                  |cC*|013.5363932413500 -72.7839142713700|18.43    |17.25    |16.82    |     ~   |15.78    |~              |   6|   0
60   |OGLE LMC-CEP-1749                  |cC*|080.5871854983000 -69.3934236708600|     ~   |16.576   |15.997   |     ~   |15.191   |~              |  14|   0
61   |SV* HV 11429                       |cC*|015.4269555884200 -72.9204522048000|     ~   |17.262   |16.695   |     ~   |15.954   |~              |  10|   0
62   |OGLE SMC-CEP-4940                  |cC*|027.1096760102000 -74.7337559308800|     ~   |     ~   |17.051   |     ~   |16.467   |~              |   2|   0
63   |PSO J010.6039+40.8733              |cC*|010.60386992000 +40.87327965000    |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
64   |SV* DV 15                          |cC*|073.0256328817000 -69.7692013110400|     ~   |     ~   |16.491   |     ~   |15.677   |~              |  11|   0
65   |SV* HV 937                         |cC*|080.0956963947400 -70.0425115993900|     ~   |     ~   |15.151   |     ~   |14.419   |~              |  16|   0
66   |M33SSS J013339.67+302709.0         |cC*|023.4151254535700 +30.4524468128600|     ~   |21.020   |20.369   |     ~   |19.528   |~              |   2|   0
67   |KK 881-190                         |cC*|290.8970783734100 +01.2000799713500|     ~   |11.49    |11.60    |     ~   |     ~   |B8             |   7|   0
68   |OGLE LMC-CEP-668                   |cC*|075.2601543021900 -67.6480531071200|     ~   |     ~   |17.514   |     ~   |17.076   |~              |   5|   0
69   |OGLE SMC-CEP-2742                  |cC*|014.4499008843400 -73.2039412749500|     ~   |     ~   |16.174   |     ~   |15.576   |~              |   6|   0
70   |OGLE SMC-CEP-3770                  |cC*|016.4421504310100 -71.7126056100900|     ~   |     ~   |17.036   |     ~   |16.448   |~              |   5|   0
71   |[DHG2019] 566                      |cC*|257.55100 -39.35747                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
72   |OGLE SMC-CEP-4802                  |cC*|016.8878100988100 -71.0007553044800|     ~   |     ~   |17.214   |     ~   |16.706   |~              |   3|   0
73   |Gaia DR3 5328846880004216576       |cC*|133.0324719241158 -47.1424129040936|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
74   |OGLE SMC-CEP-4514                  |cC*|019.0905365331500 -71.4499126911900|     ~   |     ~   |17.002   |     ~   |16.521   |~              |   4|   0
