\ EQUINOX = 'J2000.0'
\ Query
|   ra            |   dec           |
|   double        |   double        |
|   deg           |   deg           |
 011.4242801411571 +42.3586320615083
 080.5998969011100 -66.6539169333800
 079.4856783409000 -65.5487351873700
 017.5289314744500 -72.9480921639700
 015.5033273191700 -71.8544095075600
 079.4171009011100 -69.6983167668600
 011.2056219331100 +42.0885637449800
 010.7355499825800 +41.0456149248100
 081.5189422304500 -60.9887699589000
 259.46725         -38.40239        
 252.92546         -44.16736        
 294.6513505250113 +25.1592816831250
 080.7988935642808 -70.8927141054706
 076.5952957501000 -67.9759460552100
 010.71644636000   +41.58715501000  
 312.8676599034900 +28.2505054508200
 259.83004         -38.69303        
 012.2668496386600 -73.0940765235700
 017.4039698938700 -72.9615839140600
 269.3060026660346 -26.1531202213492
 075.5826035399800 -67.9582289956800
 074.8134399834400 -70.0584939143100
 239.60108         -53.79689        
 266.5132543846400 -35.4695835520800
 010.58996733000   +41.57109542000  
 112.35201200      -30.97818000     
 009.1706028668167 -74.0481537708650
 012.1403012063100 -72.9406603332300
 012.0528659773100 -74.7597317758600
 078.9821687654300 -66.0884121566500
 183.41137         -65.73547        
 082.2261018495900 -69.1703137761900
 022.2594221352000 -73.4801383648000
 106.7856210245400 -07.7951313431600
 010.0317276561500 +40.6675297584100
 011.0962890108500 +41.5883005814500
 298.5776758898716 +29.1278094893239
 016.6462357199200 -73.3850636395900
 079.27288         -69.01422        
 010.0484906331300 +40.9075983581400
 235.23700         -54.98136        
 084.1141746520400 -68.1378990075500
 016.7291545234900 -71.9779568748100
 072.2672829186800 -69.3006508588300
 010.50812         +40.95786        
 010.8375404148325 +41.1371558512325
 082.5979304361300 -70.0022435370000
 015.1345777273500 -73.3792166922200
 259.4940280876600 -30.7893252103092
 262.08004         -35.34681        
 029.0277332523500 -74.6534869807900
 303.2877737666417 +32.6197682789747
 010.03649450000   +40.99034600000  
 085.9206530623500 -67.5760506052300
 200.9872720018900 -64.5622988470900
 016.5205592539400 -72.3094082351700
 112.8745864620288 -28.4908444511961
 010.4310339385100 -73.7233012387200
 290.1907443091708 +18.1330839144511
 092.9318300575500 +16.5977705066600
 015.8471505032900 -72.1081303029000
 237.9441362469500 -06.9061971356600
 011.5917015291600 -71.8319946277300
 358.9432691172467 +62.5927949748828
 075.9840562780800 -67.2213764292500
 017.4212296189900 -71.7387939613000
 078.9894959210500 -65.4951439836900
 301.3361043927200 +32.6591130067000
 082.3673213618100 -71.1566652745300
 184.3308071640149 -62.5050707375631
 277.7575091267729 -05.2913870047500
 084.2347235308100 -70.2100082924700
 086.1452979707800 -66.9184899367500
 156.1263042281400 -59.8811561313400
 076.3677345552700 -69.3641213079600
 012.9018510375000 -73.6550592538400
 073.9228391499600 -68.1154165383300
 284.5614512673000 +17.3609159882300
 122.0938347306600 -32.3766885728600
 235.89992         -54.70822        
 014.7619992626700 -73.4525634735700
 081.5498258856500 -69.3282643180500
 013.9381347545800 -72.1282406809400
 005.6265582574863 +64.8109302273986
 023.3786996301300 +30.4570923457800
 085.3625385040100 -69.1712167509000
 013.0431448692900 -73.2223093585000
 261.10608         -35.57158        
 010.93257942000   +41.27842890000  
 010.2021868209600 +40.8741187278800
 248.1378496782200 -51.0097997372000
 082.6150941346900 -69.8088619849300
 293.3825882210725 +23.1820586946481
 015.7126263405100 -75.2386109601900
 012.4265763966800 -72.9962265843200
