mjd,mag,magerr
58206.1597801,20.18171,0.115866385
58207.1266782,19.969082,0.1005892
58207.1419444,19.783697,0.08857615
58334.4831019,19.854538,0.093015976
58348.4866435,20.614159,0.14872229
58351.4759838,20.003698,0.1029717
58366.4660764,20.05368,0.10648612
58369.4845833,20.456755,0.13745415
58372.4490394,20.46628,0.13822341
58375.4470486,20.042645,0.10570285
58378.485162,20.519073,0.14223981
58379.4771412,20.382862,0.13151649
58382.4641204,20.316677,0.12626709
58385.4990394,20.25405,0.121383436
58397.465706,20.482042,0.1394976
58423.4250231,20.202137,0.117409706
58425.3769792,19.938095,0.09849304
58426.3486227,20.57013,0.1457206
58430.3177083,20.429058,0.13522142
58431.4575,20.247149,0.120851144
58434.413125,20.13773,0.11258556
58437.4297454,20.181076,0.11581868
58440.431956,20.22706,0.119308434
58443.3160764,20.344591,0.12847127
58462.3479861,20.82935,0.1633929
58465.2325231,20.00101,0.102785245
58487.2052083,20.289513,0.12413785
58488.1857986,20.200611,0.117294006
58493.2036574,20.51096,0.14168668
58495.1972222,20.715605,0.15563834
58507.1848148,20.24145,0.12041231
58514.1914815,19.850807,0.092777446
58522.1497569,19.979782,0.1013211
58542.1416667,20.405249,0.13330851
58547.2230093,19.969381,0.100609615
58567.1636227,20.613007,0.14864373
58573.1526505,20.259663,0.12181747
58694.4670718,20.50969,0.14160001
58698.4715162,19.907522,0.09645909
58724.469375,19.902136,0.09610435
58727.4690741,20.551384,0.14444256
58730.4461458,20.379639,0.13125905
58732.4542593,19.894608,0.095610306
58734.5048843,20.287947,0.12401554
58735.4644792,20.401653,0.13302025
58741.5045255,19.724842,0.08503096
58749.4384838,20.11383,0.110827856
58756.4267245,20.054663,0.10655605
58759.4337269,20.7139,0.15552211
58763.4531019,20.255835,0.12152139
58766.4437153,20.231466,0.11964589
58785.3987153,20.402693,0.13310356
58791.3172685,20.632912,0.15000069
58791.3318519,20.666758,0.15230823
58794.2747454,20.633762,0.15005875
58794.2905324,20.134956,0.11238073
58795.2778704,19.947893,0.09915209
58806.3688426,19.848846,0.09265229
58806.3698032,19.897284,0.09578562
58811.2771181,20.27936,0.12334613
58811.2883912,20.301193,0.12505144
58812.41375,20.277763,0.123221986
58819.2495255,20.32041,0.12656102
58836.2230093,20.187191,0.11627933
58846.2289236,19.956305,0.09972065
58849.1359838,20.67577,0.15292263
58863.139838,20.225828,0.119214125
58864.1343171,20.745535,0.15767884
58867.1852778,20.588139,0.14694834
58867.197662,20.395615,0.13253644
58871.1908565,19.872719,0.09418569
58874.1914352,20.515038,0.14196467
58876.1394792,20.577612,0.1462307
58877.214838,20.20194,0.1173947
58880.1238773,20.599838,0.14774597
58880.1421296,20.500065,0.14094388
58892.1659491,20.460077,0.13772249
58893.1801157,20.473785,0.13882999
58896.19875,19.96125,0.10005618
58898.1990394,20.591557,0.14718139
58899.1740972,20.604229,0.1480453
58903.1131366,19.900215,0.09597812
58903.143044,20.002579,0.102894075
58941.1337847,20.12252,0.1114649
59088.4895023,19.980488,0.10136951
59092.4263542,20.250826,0.12113461
59096.4904745,19.96894,0.100579605
59097.4473958,19.94936,0.099251024
59108.5119097,20.558231,0.14490938
59110.5184954,20.60042,0.14778566
59111.3907986,20.329308,0.12726259
59112.5170718,20.272343,0.12280047
59113.4005208,20.013021,0.10362074
59114.5154398,19.826647,0.09124549
59114.5229514,20.170567,0.11502962
