mjd,mag,magerr
58291.4690394,21.421766,0.31692326
58299.421956,20.50436,0.2185899
58305.4310532,21.24924,0.29843104
58316.4671644,21.333498,0.3074621
58319.4507986,21.591251,0.3350898
58321.4745023,21.829208,0.36059558
58329.4859259,20.837156,0.25426114
58331.4077894,20.644386,0.23359883
58336.3988773,21.182663,0.2912947
58343.4719329,21.283651,0.30211937
58346.4051157,21.45642,0.32063782
58347.4237616,21.594687,0.33545816
58348.4285185,21.572247,0.33305275
58349.3456019,21.535698,0.3291353
58349.4668981,21.628525,0.33908498
58349.4678125,21.732616,0.35024226
58349.4804282,21.733137,0.35029805
58350.393125,21.373545,0.31175458
58350.4024421,21.442951,0.31919396
58351.3866435,21.477865,0.32293642
58351.481169,21.11908,0.2844795
58352.4689352,21.7594,0.35311306
58352.4698843,21.471457,0.32224953
58352.4804282,21.423866,0.31714833
58353.4089352,21.131992,0.28586352
58353.4310301,21.304535,0.30435765
58353.4552315,21.583172,0.33422387
58353.471794,21.078789,0.28016078
58353.4884028,21.373425,0.3117417
58354.428912,20.900066,0.2610041
58354.4698148,21.35201,0.30944645
58354.4892708,21.249674,0.2984773
58355.3613773,20.59556,0.2283653
58355.4684606,20.871399,0.25793135
58355.5032986,21.098278,0.2822498
58356.4694676,20.898588,0.26084578
58357.408125,20.431755,0.21002187
58357.4259144,20.964508,0.26791155
58361.343588,20.968155,0.26830232
58361.349375,20.883587,0.2592379
58363.4326042,20.78816,0.24900949
58364.3215278,21.338404,0.30798805
58364.3407407,21.03604,0.27557862
58364.3614352,21.32087,0.3061086
58365.3482407,21.027416,0.27465427
58365.3579745,21.331556,0.30725396
58365.3931134,21.13576,0.2862674
58366.3615394,21.193974,0.29250705
58366.3812963,21.525148,0.32800448
58367.3644097,20.946331,0.2659632
58367.3873611,21.178928,0.2908944
58367.3888426,21.49925,0.32522857
58368.3161111,21.163698,0.28926194
58368.4253356,21.524872,0.32797492
58369.3853241,21.656658,0.3421005
58369.411956,21.348263,0.30904472
58370.4090972,21.672224,0.34376895
58370.4311111,21.639782,0.34029162
58371.4083449,21.5303,0.32855666
58371.4272917,21.424477,0.3172139
58372.3824074,21.813702,0.35893357
58373.4528125,21.557297,0.33145034
58374.3401157,21.311178,0.3050698
58375.3688194,21.854652,0.36332285
58377.3048958,21.332945,0.30740297
58377.4114931,21.7047,0.3472501
58378.3940741,21.57573,0.33342612
58378.4179167,21.413,0.31598365
58380.4507292,21.110464,0.28355587
58382.3411806,20.758217,0.2457999
58383.3416667,20.97557,0.2690972
58383.4052431,21.193638,0.29247105
58384.1963426,20.631443,0.23221147
58385.3071759,20.55692,0.2242235
58389.3046759,20.660172,0.23529065
58390.2523495,21.024153,0.2743045
58400.2183681,21.35575,0.30984724
58426.2503935,21.07878,0.28015983
58429.2755903,21.505276,0.32587445
58429.2941088,21.176533,0.2906376
58665.4522106,21.087292,0.28107226
58674.4768403,21.050753,0.27715576
58693.4688194,21.09872,0.28229725
58695.4735301,21.077679,0.2800418
58696.4755324,21.060993,0.27825344
58698.4216435,21.006035,0.2723626
58700.4500231,20.947636,0.2661029
58703.4306134,21.540773,0.32967937
58706.4081366,21.353605,0.3096174
58720.3843403,21.20485,0.29367268
58727.487662,20.841423,0.25471842
58738.3875347,21.176523,0.29063666
58744.3743171,20.809626,0.25131023
58749.2528125,20.809622,0.25130975
58749.2838079,21.122643,0.28486145
58750.3051852,20.79082,0.2492944
58750.3251273,21.240185,0.2974602
58751.2835417,21.040585,0.27606595
58751.2930093,21.01058,0.27284968
58751.3193171,21.025776,0.27447855
58756.3957176,20.963192,0.2677704
58758.3178472,21.1702,0.28995883
58758.31875,21.041836,0.27619994
58758.3197106,21.063473,0.27851903
58760.3221991,21.492006,0.32445204
58760.3231019,21.01678,0.2735144
58761.3607755,21.16141,0.2890166
58776.1315741,21.082767,0.28058732
58778.1321644,20.65755,0.23500979
58785.131794,20.961082,0.2675444
58790.1630208,20.952839,0.2666608
58800.3042708,20.313965,0.19562949
58811.1536343,20.667397,0.23606527
58895.175162,21.582767,0.33418047
58987.4672454,20.80948,0.25129473
58995.4649537,21.38018,0.3124658
59072.4949653,21.53716,0.32929218
59081.3871181,20.7695,0.2470094
59088.3817708,20.899778,0.26097333
59091.4722338,21.116089,0.28415883
59114.4079398,21.345335,0.30873096
59115.3098264,21.306534,0.304572
59116.346088,21.239082,0.29734218
59195.2155903,21.10866,0.2833625
59218.1629861,20.939667,0.2652489
59220.1113889,21.21025,0.2942518
59221.197037,20.970306,0.26853287
59223.1141551,21.419159,0.31664383
59224.1112847,20.957758,0.26718795
59232.158588,21.156548,0.28849542
59252.1625579,21.020372,0.27389944
59934.2439583,20.982569,0.26984727
