mjd,mag,magerr
58280.4753356,21.21796,0.3041165
58291.4690394,21.61709,0.34825563
58316.4528356,21.902557,0.37982488
58316.4671644,21.862375,0.37538123
58319.4675347,21.748981,0.36284137
58321.4754514,21.201014,0.30224252
58322.4089815,21.166933,0.2984736
58322.4880671,21.286419,0.31168723
58324.4665046,20.98291,0.27812266
58325.47625,20.865917,0.26518464
58347.4237616,21.293179,0.3124349
58348.4097801,21.037256,0.28413272
58348.4285185,21.433895,0.3279965
58349.3456019,20.951138,0.2746091
58349.4668981,21.109594,0.29213262
58349.4678125,21.5376,0.3394649
58350.393125,20.8467,0.26305962
58350.4024421,21.205847,0.30277705
58351.3673495,21.506302,0.33600378
58351.3866435,21.380472,0.32208848
58351.481169,21.255747,0.30829525
58352.3262847,20.694157,0.24619007
58352.4689352,21.160757,0.29779053
58352.4698843,21.440628,0.32874107
58352.4804282,21.109503,0.29212236
58353.4089352,21.246859,0.30731225
58353.4552315,21.445766,0.32930923
58353.471794,20.922665,0.2714603
58353.4884028,20.981157,0.27792883
58354.346331,21.192966,0.3013525
58354.428912,21.242136,0.3067901
58354.4698148,20.979115,0.27770305
58354.4892708,21.070353,0.28779292
58355.5032986,20.971312,0.27683997
58356.4694676,20.82628,0.26080132
58361.349375,20.956059,0.27515316
58364.3614352,21.593342,0.34562945
58365.3482407,21.179358,0.2998476
58365.3579745,21.297115,0.31287026
58367.3381944,21.13505,0.29494762
58367.3644097,21.762684,0.36435652
58367.3873611,21.140703,0.29557276
58367.3888426,21.568302,0.34286022
58370.4090972,21.652815,0.35220647
58371.4083449,21.677383,0.3549235
58372.3373495,21.109554,0.2921281
58373.3216319,21.54784,0.3405974
58373.4528125,21.456392,0.3304844
58374.359537,20.970982,0.2768035
58375.3506134,21.23481,0.30597997
58375.3688194,21.306246,0.31387997
58375.4061111,21.218452,0.3041711
58376.3720949,21.211609,0.3034141
58377.3048958,21.09428,0.2904389
58377.4114931,21.353985,0.31915927
58377.4226042,21.173353,0.2991836
58378.4084838,21.189583,0.30097842
58379.4051042,21.289082,0.31198168
58379.4240046,21.13977,0.29546976
58380.430706,21.266459,0.30947995
58382.3411806,21.165386,0.2983024
58382.364213,20.828335,0.26102853
58385.2591782,20.89255,0.26812983
58386.3552546,20.527708,0.22778273
58388.2846875,20.766205,0.25415778
58390.2523495,21.222458,0.30461383
58429.2692593,21.323982,0.31584144
58429.2706944,21.370213,0.32095385
58429.2755903,21.394922,0.32368636
58429.2941088,21.331371,0.3166585
58432.2762153,20.914274,0.27053237
58486.1122454,21.114342,0.2926576
58674.4768403,21.338486,0.31744528
58676.4655556,21.096933,0.29073238
58678.4875463,21.286957,0.31174684
58695.4735301,21.491463,0.33436275
58698.4216435,21.474045,0.33243656
58703.4296759,21.159883,0.29769397
58703.4306134,21.537119,0.33941174
58706.4081366,21.210064,0.3032434
58707.4738889,21.331394,0.31666112
58708.4940625,21.136835,0.29514503
58719.4182523,21.4957,0.33483148
58725.4861574,21.221317,0.3044877
58732.4667708,20.783138,0.25603032
58732.4676968,20.699724,0.24680567
58735.3840625,21.223541,0.30473375
58735.3849653,21.184645,0.3004322
58737.328287,20.666935,0.24317956
58738.3866204,20.798237,0.25769997
58758.3197106,21.400282,0.32427907
58760.3010532,20.958044,0.27537274
58761.3428588,20.9376,0.27311182
58761.3607755,21.124166,0.2937441
58763.3149421,21.085873,0.2895093
58763.3473148,21.061775,0.28684425
58763.3635764,20.99905,0.2799077
58765.3758102,20.855148,0.26399374
58768.1951042,20.444622,0.21780846
58782.1309491,21.016422,0.28182888
58786.138669,21.020926,0.2823267
58793.124537,20.65908,0.242311
58812.2414583,20.81399,0.2594421
58871.0906481,20.808702,0.2588575
58884.1317824,19.37257,0.10215161
58893.1218981,21.452232,0.33002424
58987.4725579,20.934036,0.27271795
58995.4649537,20.9701,0.27670622
59043.4637384,20.827572,0.26094413
59044.4635417,21.09424,0.2904346
59045.3654745,21.216457,0.3039503
59045.4878588,21.115086,0.29273987
59046.4475116,21.251163,0.30778837
59047.4293866,21.480661,0.33316827
59049.4360301,21.346512,0.3183329
59050.4643519,21.580372,0.34419513
59050.4840625,21.260147,0.30878186
59053.4564699,21.404457,0.3247409
59056.4724306,21.524723,0.33804083
59057.4415046,21.640747,0.3508718
59060.4527778,21.408106,0.32514453
59062.4764583,21.10159,0.29124737
59067.4310995,21.173782,0.29923105
59068.4047685,20.835882,0.26186323
59069.4296759,20.985561,0.27841592
59076.3928935,21.39877,0.32411194
59076.4038542,21.115078,0.2927389
59079.3843403,21.447575,0.32950926
59084.5083796,21.305851,0.31383634
59085.4692245,21.24481,0.30708575
59086.3608102,21.375164,0.3215015
59088.406713,21.128855,0.2942624
59089.421875,21.320417,0.3154471
59091.4722338,21.137285,0.29519486
59094.3480556,20.314472,0.20116886
59114.4079398,21.722927,0.35996008
59116.346088,21.509317,0.33633733
59118.3418981,21.032204,0.2835741
59136.3022685,21.392256,0.32339168
59140.2416204,21.796705,0.368119
59172.1569097,21.345825,0.31825686
59195.2155903,21.70534,0.35801506
59220.1167593,21.38495,0.32258368
59221.197037,21.020012,0.28222585
59342.4864468,20.395874,0.21156256
59364.465463,20.890785,0.2679348
59367.4625116,20.596321,0.23537064
59387.4368403,21.069994,0.2877531
59403.4268403,21.034138,0.28378797
59404.4618866,21.161797,0.29790545
59405.4314699,21.282425,0.31124568
59409.4615741,21.292688,0.31238055
59412.4289931,21.315159,0.3148656
59422.4312153,20.804523,0.2583952
59424.3897569,20.780426,0.2557304
59429.4041204,21.11092,0.29227924
59434.367662,21.376146,0.32160997
59436.3851389,21.294874,0.3126223
59439.389294,21.056599,0.2862718
59460.339213,21.095388,0.29056144
59466.382963,21.433508,0.32795358
59517.24,21.409256,0.3252716
59520.2472106,21.474255,0.3324597
59522.301713,21.483463,0.33347797
59730.4634259,21.178722,0.29977727
59730.4653588,21.260002,0.3087659
59732.461331,20.693386,0.24610472
59732.4653356,21.174334,0.29929185
59766.3915394,21.11057,0.29224062
59772.4632639,21.206196,0.30281544
59786.3877315,21.048769,0.28540587
59817.4763426,21.054768,0.2860694
59819.4713542,21.372957,0.32125735
59822.4669676,21.099255,0.29098916
59824.3836806,21.684101,0.35566616
59826.4307292,21.082191,0.28910208
59843.3061458,21.098269,0.29087996
59846.4238773,21.308456,0.31412435
59848.3422106,21.02186,0.28243017
59852.3253472,21.190376,0.30106616
59854.3008218,21.440117,0.32868457
59873.1807292,21.356043,0.31938696
59877.3473495,21.518913,0.33739853
59913.1653241,21.073315,0.2881205
60079.4803588,20.342226,0.20470247
60079.4876389,19.886944,0.15023345
60083.4766435,20.935677,0.2728994
