mjd,mag,magerr
58280.4525579,21.506006,0.28436697
58289.428044,21.02624,0.23675597
58291.4484954,20.69843,0.20422494
58292.452662,21.284079,0.2623433
58297.4445486,20.128422,0.13803695
58311.3598843,21.260902,0.2600435
58312.3747222,21.182184,0.25223172
58312.4721991,21.558556,0.28958166
58319.4227546,21.749132,0.30849397
58321.4363079,21.447573,0.27856815
58350.4278009,21.830055,0.31652462
58351.4337616,21.77466,0.3110274
58352.392037,21.377789,0.2716428
58364.2638194,21.399975,0.2738446
58364.2852778,21.09678,0.24375641
58364.4093519,20.743784,0.20872605
58365.3991551,21.020077,0.23614442
58366.438287,20.895603,0.2237922
58367.4151389,21.022057,0.23634088
58367.4165509,21.241444,0.2581123
58367.4386458,21.052341,0.23934639
58368.4164352,21.165056,0.2505318
58369.3201157,21.203342,0.25433123
58370.3392708,21.435602,0.2773801
58370.3644213,21.211998,0.25519025
58370.3653356,21.169214,0.2509445
58370.3803009,21.433212,0.27714288
58373.3841435,21.365505,0.270424
58374.4231829,21.254787,0.2594365
58374.4587153,21.242882,0.25825512
58375.4588194,21.41513,0.27534854
58376.3226968,21.588129,0.2925166
58376.4481944,21.610855,0.2947718
58377.3640278,21.10266,0.24433982
58378.3459954,21.428322,0.2766577
58380.3703125,21.985521,0.3319527
58397.3502083,21.04518,0.23863566
58397.3620255,21.289799,0.26291096
58429.1983565,21.496372,0.2834109
58429.2292245,21.760376,0.30960977
58430.2714699,21.639862,0.29765046
58434.1521296,20.575184,0.19199455
58434.2720023,20.636066,0.19803631
58644.4512731,21.379936,0.27185595
58675.456331,21.799286,0.3134712
58686.4834144,20.76671,0.21100104
58695.3982755,21.297989,0.26372373
58695.4523495,21.58035,0.2917446
58696.4143287,21.06103,0.2402085
58696.4253472,21.064056,0.24050891
58696.4276736,21.79791,0.31333458
58696.4582755,21.260109,0.2599646
58698.4462847,21.324158,0.2663206
58699.4498843,21.596403,0.2933377
58700.4696065,21.42199,0.27602923
58701.4485185,21.669622,0.30060375
58701.4670949,21.462536,0.28005302
58705.4839352,21.647165,0.298375
58720.4064583,20.844742,0.21874464
58722.4130903,21.053204,0.23943198
58722.4196412,20.994427,0.23359907
58722.4452662,21.073355,0.2414316
58723.4098264,21.347254,0.26861274
58723.4216088,21.069199,0.24101913
58723.4619676,21.386065,0.27246416
58724.43,21.570698,0.29078662
58724.4481829,21.011433,0.2352866
58725.3981481,21.389595,0.27281463
58727.3896528,21.592503,0.2929505
58727.4458102,21.506498,0.2844156
58733.4634954,21.421448,0.27597558
58734.4385301,21.473797,0.2811705
58750.3813889,21.158787,0.24990976
58754.2887963,20.742496,0.20859826
58756.4038889,21.087975,0.24288261
58758.3499306,21.054989,0.23960912
58758.3560995,21.602001,0.29389322
58758.3597917,21.423517,0.27618086
58758.3607407,21.383976,0.27225697
58758.3758796,21.016876,0.23582685
58760.3805208,21.12435,0.24649227
58761.2879745,21.031212,0.2372495
58763.3871181,20.77521,0.21184456
58763.4282176,20.72557,0.2069186
58765.4597454,21.376045,0.27146995
58776.1594676,21.552444,0.28897536
58831.1201157,20.449295,0.17739017
58837.1413773,21.15683,0.24971545
58864.1089583,20.959332,0.23011625
58893.1066551,21.242691,0.25823605
59043.3650347,21.02854,0.23698437
59046.4684259,21.21325,0.25531447
59047.4509375,21.176172,0.25163496
59048.4543981,21.408564,0.27469695
59049.4511806,21.581331,0.29184186
59060.4721065,21.795029,0.31304872
59078.4005556,21.09098,0.24318087
59079.4685532,21.123987,0.24645627
59080.4107176,21.195,0.25350344
59085.3819444,21.606445,0.2943343
59087.4022917,21.621286,0.295807
59113.3934838,21.426752,0.276502
59114.3283102,21.023594,0.23649347
59115.4296644,21.268,0.2607478
59116.2635417,20.891422,0.22337711
59117.2890046,21.099586,0.24403489
59136.3869329,21.341278,0.2680198
59195.1729167,21.196112,0.25361383
59218.1175,20.971611,0.2313348
59220.1615741,20.980402,0.23220718
59222.2469097,20.693027,0.20368898
59223.1361343,20.736816,0.2080344
59403.4067477,21.058123,0.23992002
59404.4146759,21.25785,0.25974047
59410.4647801,21.396952,0.27354467
59472.4062037,21.181137,0.25212777
59474.4142245,21.336058,0.2675017
59510.2446412,20.57999,0.19247139
59757.4440509,21.337044,0.26759946
59764.4277083,21.078623,0.24195445
59786.4490394,21.40945,0.27478492
59788.4531597,20.986816,0.23284376
59798.4109259,21.33784,0.26767838
59856.3198727,21.450405,0.27884924
59873.2182639,21.070421,0.24114048
59910.2155324,21.367983,0.27066982
