mjd,mag,magerr
58274.4771759,20.575668,0.22623312
58277.4284028,20.133827,0.17398846
58280.4753356,20.496105,0.21782583
58283.4695833,20.869717,0.2577511
58289.4714352,20.548977,0.2233721
58291.4690394,20.781313,0.2482754
58292.4760417,20.882696,0.25914228
58293.4715162,21.069357,0.2791499
58297.4266435,20.358852,0.20111355
58303.4680556,21.221369,0.29544342
58312.4204282,20.781685,0.24831522
58312.4535069,20.790451,0.24925482
58316.4671644,21.06295,0.27846324
58318.3603356,20.9508,0.26644218
58319.4507986,20.894558,0.26041377
58319.4675347,20.878689,0.2587129
58320.3747685,20.511154,0.21931803
58321.4745023,20.832592,0.2537719
58321.4754514,20.73265,0.24305952
58322.3780324,20.907412,0.2617916
58322.4089815,21.04982,0.27705586
58322.4880671,21.082485,0.28055704
58324.4665046,20.944435,0.26575983
58329.4859259,20.591097,0.2278868
58331.4222454,20.464582,0.21401455
58343.4719329,20.791199,0.24933517
58346.4051157,20.864103,0.25714934
58347.4047454,20.893414,0.26029122
58347.4237616,20.894342,0.26039064
58348.4097801,20.856312,0.2563144
58348.4285185,20.566818,0.22528446
58349.3456019,20.769367,0.24699509
58349.4668981,21.174091,0.29037607
58349.4678125,20.687206,0.23818839
58349.4804282,20.759748,0.24596393
58350.393125,20.776146,0.24772155
58350.4024421,20.985563,0.27016842
58351.3673495,20.763124,0.24632585
58351.3866435,20.89947,0.2609402
58351.481169,21.132706,0.28594005
58352.3262847,20.942944,0.2656001
58352.4689352,21.301102,0.30398977
58352.4698843,20.984135,0.27001512
58352.4804282,20.981558,0.26973903
58353.4089352,21.338627,0.3080119
58353.4310301,20.88121,0.25898302
58353.471794,20.905575,0.26159465
58353.4884028,20.802261,0.25052083
58353.5029514,20.820148,0.2524382
58354.3199306,21.035334,0.27550304
58354.346331,20.658506,0.23511231
58354.428912,20.791525,0.24936998
58354.456088,21.032425,0.2751912
58354.4698148,20.873428,0.25814903
58354.4892708,21.1051,0.28298104
58355.3613773,20.427137,0.20945911
58355.4684606,20.862995,0.2570306
58355.4694213,20.777622,0.24787986
58355.4878125,20.753788,0.24532521
58355.5032986,20.941896,0.2654878
58356.4242477,20.862286,0.25695455
58358.4509375,20.781767,0.24832404
58361.3141667,21.089592,0.28131878
58364.3416782,21.304214,0.30432332
58366.3812963,21.834805,0.36119545
58372.3373495,21.277119,0.30141914
58374.359537,21.002136,0.27194464
58375.3506134,21.685204,0.34516013
58375.3688194,21.577332,0.33359778
58376.3720949,20.857565,0.25644863
58376.3730093,21.460289,0.32105243
58376.416956,21.198723,0.29301608
58377.3048958,21.4356,0.31840622
58377.4226042,21.022343,0.27411067
58378.4084838,21.064327,0.27861083
58378.4179167,21.164703,0.2893697
58379.4041667,21.032171,0.275164
58379.4051042,20.924515,0.2636248
58380.3287731,20.826588,0.25312817
58380.430706,20.980293,0.26960337
58380.4507292,20.722843,0.24200833
58382.3291319,20.606867,0.22957718
58382.3411806,20.6949,0.23901331
58382.3420949,20.562853,0.2248596
58382.364213,20.619225,0.23090184
58383.3416667,20.378113,0.20346913
58383.385706,20.543839,0.22282135
58384.1963426,20.58293,0.22701156
58385.2591782,20.436802,0.21063694
58388.2627315,20.302086,0.1941811
58388.263669,20.388199,0.20470278
58388.2846875,20.463688,0.21390606
58389.2745486,20.833666,0.25388706
58389.3046759,20.354641,0.20059833
58389.3162269,20.768206,0.24687064
