mjd,mag,magerr
58301.4770833,18.429537,0.03949119
58304.4645833,18.035393,0.031225003
58314.4774653,18.449902,0.040000428
58320.4634954,18.024689,0.031038398
58323.4425116,18.521318,0.041857943
58329.462581,17.90591,0.02908474
58332.4672106,18.212666,0.03459049
58336.4855093,18.180176,0.03393328
58340.4814005,18.494263,0.041140918
58340.4836921,18.512594,0.041624952
58342.4567245,18.46098,0.040281203
58343.4565046,18.375631,0.038185507
58343.4574306,18.35323,0.037660524
58345.441875,18.035439,0.031225821
58346.4809144,17.960644,0.02995883
58346.5002315,17.98455,0.030354513
58347.481713,18.327963,0.037080526
58347.5021759,18.214031,0.03461854
58348.4649421,18.477646,0.040708657
58349.4240625,18.547894,0.04257843
58349.4249769,18.528837,0.042060137
58350.460787,18.472704,0.040581264
58351.4609375,18.39131,0.038559027
58352.4319213,18.281382,0.036044154
58352.4328356,18.271511,0.035829913
58363.4036343,18.16689,0.0336699
58363.4140509,18.1707,0.03374513
58364.4208333,18.525063,0.041958477
58365.4423264,18.481693,0.040813375
58366.4465625,18.485624,0.040915452
58366.4475347,18.486856,0.040947493
58367.431412,18.459385,0.040240645
58368.4085069,18.351543,0.03762143
58369.4500579,18.268333,0.035761323
58369.4509606,18.269207,0.035780165
58370.453912,18.090862,0.032221362
58371.3910069,18.084427,0.032103214
58372.4326157,18.370651,0.038067903
58372.4415046,18.350859,0.037605554
58372.4424074,18.326496,0.03704723
58373.4200694,18.532003,0.042145673
58374.4276852,18.5396,0.042351846
58375.4308565,18.577631,0.043404043
58375.4317708,18.532038,0.04214661
58376.4547222,18.45845,0.040216886
58377.3883681,18.283806,0.036097042
58378.4478356,18.174713,0.033824626
58378.4496644,18.177189,0.03387379
58379.4421644,18.025131,0.031046072
58382.4350926,18.47179,0.040557787
58382.4369329,18.499386,0.04127544
58384.4739005,18.430607,0.039517745
58385.441713,18.279789,0.036009457
58385.453287,18.30933,0.03666089
58386.4648843,18.187477,0.034079332
58397.3730324,18.525429,0.041968323
58425.3423727,18.519985,0.041822236
58428.2954167,18.0986,0.032364357
58431.2388542,18.549648,0.04262657
58434.28125,18.42478,0.039373532
58437.2456597,18.004894,0.030698024
58481.2703588,18.478775,0.04073783
58483.1621181,18.459885,0.04025335
58490.1222338,18.467031,0.040435724
58493.1705671,18.344482,0.03745828
58503.168669,18.064522,0.03174203
58508.1845486,18.448805,0.039972775
58511.1608102,18.081717,0.032053646
58514.1493519,18.507671,0.041494217
58522.1462731,18.577454,0.04339905
58523.1332639,18.525692,0.041975413
58534.151412,18.585732,0.043632526
58534.1532407,18.546993,0.04255376
58539.1512153,18.538116,0.042311464
58539.1629861,18.361275,0.037847895
58540.1432986,18.490717,0.04104818
58670.4510648,18.494072,0.041135926
58673.4809144,18.235739,0.035068836
58679.454294,18.392288,0.038582515
58682.4870833,18.143192,0.033207837
58682.4879861,18.062218,0.031700652
58685.4828935,18.494982,0.041159756
58685.4916667,18.486837,0.040946994
58686.492338,18.523914,0.041927624
58691.4832639,18.028685,0.031107852
58693.4502662,18.556982,0.042828567
58693.451169,18.538908,0.042332996
58694.4780903,18.543709,0.042463914
58695.4564815,18.508667,0.041520603
58696.44625,18.482262,0.040828116
58696.4471528,18.46577,0.04040346
58697.4634375,18.344915,0.037468277
58698.46375,18.25572,0.035490986
58699.4731366,18.048706,0.03145963
58699.4740394,18.068062,0.031805802
58700.4861227,17.999523,0.030606724
58701.4628241,18.488825,0.040998805
58703.492963,18.491085,0.041057803
58703.4938773,18.499653,0.04128247
58704.4259259,18.490961,0.04105456
58705.4967014,18.423613,0.039344735
58706.4556597,18.295116,0.03634535
58706.456713,18.301756,0.036492273
58707.4432755,18.125221,0.032863863
58708.4779861,17.974483,0.030186847
58709.497662,18.105026,0.03248384
58711.494213,18.406664,0.038929757
58714.4635995,18.35711,0.0377507
58722.4392477,18.334652,0.03723283
58725.4604514,18.001247,0.03063598
58733.4601042,18.019194,0.03094329
58736.4804051,18.508307,0.04151105
58746.4589931,18.428673,0.039469775
58756.4152546,18.32218,0.036949564
58759.4001736,18.212318,0.03458337
58765.4591204,18.31896,0.03687693
58768.4388542,18.27591,0.03592513
58782.3069329,18.079803,0.03201876
58785.3253125,18.519995,0.041822493
58788.3577315,18.480715,0.04078802
58789.3492593,18.34265,0.03741611
58790.2855208,18.152756,0.033393137
58791.2949537,17.993444,0.0305039
58794.2567477,18.5078,0.041497596
58800.2319213,18.31427,0.036771476
58803.1894329,18.44091,0.039774507
58806.1949537,18.177671,0.033883393
58811.2057407,18.438467,0.039713405
58811.2127778,18.59637,0.04393501
58831.2501273,18.228916,0.034926366
58833.1759491,18.13707,0.03309003
58836.1300231,18.475029,0.04064114
58839.1295949,18.247952,0.035325967
58846.215463,18.43681,0.03967204
58849.1272685,18.024576,0.031036453
58859.0848264,18.474873,0.040637117
58861.1042477,18.521265,0.041856512
58862.1410417,18.500584,0.041306987
58864.1393634,18.28623,0.036150064
58871.1866435,18.444149,0.039855696
58872.1746875,18.311596,0.03671156
58873.124213,18.11745,0.03271681
58874.1489815,17.991886,0.03047764
58874.1657176,18.00082,0.030628733
58875.1581366,18.116405,0.03269713
58877.1724074,18.48822,0.040983014
58884.0980787,18.451696,0.04004575
58887.170706,18.514015,0.041662782
58891.1512731,17.989702,0.030440895
58894.1505787,18.500145,0.041295428
58899.1542014,18.032406,0.031172764
58905.1308912,18.348196,0.037543975
58913.116331,18.324736,0.037007365
59047.4896181,18.454185,0.0401087
59050.4242245,18.386978,0.038455315
59053.4323958,18.025558,0.031053504
59056.4490394,18.509941,0.04155442
59059.4247106,18.36256,0.037877947
59062.4451042,18.003376,0.030672181
59063.4637847,18.301504,0.03648669
59064.4820602,18.449757,0.03999679
59065.4643287,18.554184,0.042751357
59066.4224306,18.439508,0.039739437
59068.4846296,18.316212,0.03681508
59075.4410069,18.435228,0.039632637
59076.4746065,18.350975,0.037608262
59082.3840856,18.301027,0.03647611
59082.4546528,18.551197,0.042669117
59085.4079051,18.243097,0.03522343
59085.4421759,18.282413,0.03606664
59086.4822569,18.196568,0.034262486
59086.5037731,18.188242,0.034094676
59087.4830671,18.046635,0.03142295
59088.4986574,18.071095,0.031860586
59090.3901968,18.531214,0.042124335
59091.3729167,18.406513,0.03892611
59092.3676042,18.327211,0.037063457
59093.4421296,18.27636,0.035934914
59095.3422569,18.070095,0.031842526
59102.4784028,18.245735,0.0352791
59106.4932639,18.500973,0.04131722
59107.3898958,18.533894,0.04219686
59109.3731366,18.387726,0.038473208
59112.5023958,18.06484,0.031747777
59118.452338,18.387714,0.038472924
59120.3203588,18.00897,0.03076761
59121.3102199,18.255617,0.0354888
59122.3277662,18.490627,0.04104585
59128.3593634,18.040657,0.031317443
59130.3695833,18.411856,0.03905622
59134.3813657,18.482882,0.0408442
59136.3798611,18.199306,0.034317978
59138.3720949,18.234959,0.035052493
59140.38,18.512396,0.04161965
59142.3961227,18.49154,0.0410697
59144.3600116,18.206171,0.034457598
59150.4159144,18.625519,0.044777617
59155.363206,18.265442,0.035699077
59157.3647338,18.535194,0.042232115
59164.3431597,18.574003,0.043302186
59168.2684606,18.261013,0.03560406
59170.2250231,17.982727,0.030324021
59172.2360301,18.495869,0.041183017
59174.2573495,18.536411,0.042265143
59176.3494444,18.423082,0.039331656
59178.147963,18.089249,0.032191683
59183.2111921,18.2514,0.03539908
59185.2049074,18.164639,0.03362559
59187.1443287,18.261227,0.03560863
59189.1587269,18.4594,0.040241007
59191.232662,18.490353,0.04103865
59193.1977662,18.274036,0.035884537
59195.2422569,17.984543,0.030354373
59198.1923727,18.464561,0.040372565
59199.2771759,18.537764,0.042301875
59202.2275347,18.178904,0.033907928
59204.2536111,17.98716,0.0303982
59210.1917361,18.179955,0.033928856
59216.1837616,18.46847,0.04047255
59218.2289468,18.303417,0.03652915
59220.1539931,17.987095,0.03039712
59222.1700926,18.565466,0.043063797
59224.1650347,18.474602,0.040630117
59226.1938542,18.310377,0.036684304
59228.1515394,18.003489,0.030674085
59229.2077083,18.061983,0.031696443
59230.1646875,18.518576,0.041784495
59230.165625,18.524893,0.04195393
59231.1305787,18.452473,0.040065363
59232.218588,18.519854,0.0418187
59232.2195255,18.483263,0.0408541
59233.1302546,18.402042,0.038817648
59248.1296875,18.543842,0.042467564
59250.1313194,18.391954,0.038574502
59252.1444444,18.200935,0.034351025
59254.1448727,18.0648,0.031747047
59256.1443866,18.524746,0.041949954
59260.1462847,18.209496,0.034525532
59265.1539236,18.52645,0.041995786
59269.1793981,18.217031,0.03468027
59271.1753704,17.974167,0.030181589
59418.4475347,18.698147,0.046968184
59422.4644329,18.325598,0.037026886
59424.4558333,17.965034,0.030030852
59428.4451389,18.500494,0.041304596
59430.4672106,18.397419,0.038705952
59435.4347801,18.502464,0.041356537
59438.4437269,18.400776,0.038787015
59442.4809838,18.192307,0.034176458
59446.4595949,18.449163,0.039981816
59449.4289815,18.049458,0.03147297
59459.4227778,18.437592,0.039691553
59461.4434144,18.51078,0.041576702
59463.4364699,18.423977,0.0393537
59465.4219444,18.104645,0.032476723
59467.4546759,18.130016,0.032955095
59469.4343634,18.495445,0.041171912
59474.4018056,18.006031,0.030717414
59477.35375,18.467398,0.040445093
59479.3511227,18.342062,0.037402596
59484.3870718,18.382948,0.0383592
59488.3674884,18.406902,0.038935553
59496.3628009,18.424465,0.039365757
59498.4168981,18.271338,0.03582615
59503.3541319,18.555107,0.042776793
59505.2241088,18.235165,0.035056807
59512.3887037,18.464396,0.040368333
59518.2779514,18.52811,0.042040557
59521.3028704,18.42635,0.039412312
59523.3190509,18.176605,0.033862203
59525.3204861,18.14017,0.033149585
59527.2971412,18.389425,0.038513858
59530.2996065,18.38277,0.03835497
59532.2382176,18.010841,0.030799652
59538.221713,18.298054,0.036410235
59542.2692477,18.344896,0.037467834
59622.1373843,18.31055,0.036688168
59624.1346759,17.985348,0.030367838
59627.1739236,18.538326,0.042317167
59638.1411921,18.099262,0.03237663
59787.4550347,18.110971,0.032594994
59793.470463,18.291382,0.036263082
59796.4717361,18.216965,0.034678895
59800.3825116,18.381676,0.038328897
59803.4641088,17.958506,0.029923867
59806.4666898,18.498232,0.041245095
59810.4019792,18.174583,0.033822052
59815.4401505,18.56441,0.04303439
59819.4436111,18.163273,0.03359877
59822.4428241,18.546469,0.042539395
59825.4783333,18.482895,0.040844534
59839.3477315,18.493681,0.041125685
59839.4118519,18.457376,0.040189605
59840.3665162,18.539083,0.04233779
59841.3859375,18.493397,0.041118253
59841.4462847,18.511627,0.041599236
59843.392419,18.29314,0.036301807
59846.3941435,18.198862,0.034308963
59848.4317014,18.511696,0.04160104
59850.3973495,18.437056,0.039678168
59852.4073148,18.172638,0.033783488
59855.3618403,18.503767,0.04139093
59857.4554282,18.517117,0.041745503
59859.4567361,18.489222,0.041009124
59861.3951968,18.151382,0.03336643
59865.4025694,18.422518,0.039317727
59867.2730671,18.33752,0.037298415
59870.3389236,17.949772,0.029781716
59872.3178704,18.495293,0.041167915
59874.3859954,18.529554,0.04207951
59877.4033218,18.251003,0.035390656
59879.3185995,18.21265,0.0345902
59881.3573843,18.528976,0.042063903
59883.2374306,18.401928,0.038814876
59888.254294,18.694262,0.04684761
59894.3814468,18.203411,0.034401365
59896.238588,18.474297,0.040622253
59898.223669,18.51857,0.041784372
59900.2854977,18.316406,0.036819447
59902.2981944,18.243212,0.03522584
59904.2747454,18.13797,0.033107307
59906.2110648,18.51218,0.041613944
59909.2768981,18.35825,0.03777728
59922.2319907,18.412315,0.039067462
59930.2087153,18.582775,0.043548957
59933.3039815,18.472103,0.04056581
59935.1965509,18.165192,0.033636477
59953.1227546,18.042702,0.031353462
59957.1449653,18.539244,0.042342145
59967.187581,18.419888,0.039253004
59969.1719213,18.055573,0.03158174
59978.1381829,17.92432,0.029373888
59980.1358449,18.485126,0.040902495
59982.1617477,18.358242,0.03777712
59984.1335532,18.147312,0.033287473
59991.1447685,18.434635,0.039617855
