mjd,mag,magerr
58291.4690394,21.089577,0.2899189
58312.4213426,21.143492,0.29588127
58312.4535069,21.118755,0.29314566
58316.4528356,21.227406,0.305161
58316.4671644,21.205448,0.30273294
58319.4507986,21.462095,0.331115
58319.4675347,21.323156,0.31575012
58320.3747685,21.142921,0.2958181
58321.4745023,21.525387,0.33811426
58321.4754514,21.328197,0.31630754
58322.4880671,21.374912,0.3214736
58324.4655556,21.332699,0.31680536
58324.4665046,21.483646,0.33349824
58336.3988773,21.28495,0.31152487
58343.4719329,21.199558,0.30208158
58346.4051157,21.207436,0.30295253
58347.4237616,21.411692,0.32554102
58348.4097801,21.869106,0.37612557
58349.4678125,21.63153,0.34985256
58349.4804282,21.647781,0.35164976
58350.4024421,21.563728,0.34235454
58360.3068056,20.82001,0.26010776
58361.3141667,21.092804,0.2902758
58361.349375,20.751068,0.25248384
58363.4326042,21.013035,0.2814541
58364.3407407,21.062778,0.28695536
58364.3416782,21.098091,0.2908604
58364.3614352,20.958382,0.27541018
58365.3482407,21.183445,0.30029964
58365.3931134,21.144827,0.29602885
58366.3473958,21.240135,0.30656886
58367.3381944,21.223125,0.30468774
58367.3644097,21.222864,0.3046589
58367.3873611,21.058815,0.2865169
58367.3888426,21.544476,0.34022522
58368.3161111,20.909374,0.26999044
58368.4253356,21.399256,0.32416582
58369.411956,21.3047,0.31370902
58370.4104977,21.346947,0.31838083
58371.4083449,21.549446,0.340775
58372.3824074,21.278954,0.3108616
58373.3234954,21.597622,0.3461027
58373.4528125,21.622572,0.34886193
58375.3688194,21.647373,0.3516047
58378.4179167,21.51075,0.33649564
58379.4041667,21.352793,0.31902742
58380.430706,21.507803,0.33616972
58380.4507292,21.832527,0.37208056
58383.3416667,21.141798,0.29569387
58383.385706,20.72189,0.24925685
58400.2183681,21.60176,0.34656048
58423.303206,21.236763,0.30619597
58423.3041435,20.82671,0.26084876
58428.283206,21.36512,0.3203907
58665.4522106,21.389675,0.3231063
58669.4345833,21.40547,0.32485294
58690.4353125,21.191013,0.3011365
58693.4688194,21.425987,0.32712197
58695.4735301,21.5351,0.33918858
58696.4755324,21.471527,0.3321581
58715.4238773,21.134335,0.29486847
58720.3843403,21.347412,0.31843233
58723.3860995,21.509584,0.33636665
58724.4096759,21.333439,0.31688714
58735.3840625,21.043198,0.2847898
58738.3875347,20.792631,0.25708008
58748.3155208,21.139198,0.29540634
58760.3010532,21.31553,0.3149066
58761.3419097,20.65855,0.24225235
58761.3428588,21.57831,0.34396696
58761.3437963,20.793873,0.2572174
58761.3970602,20.77309,0.25491905
58763.3149421,21.035427,0.28393054
58763.3473148,20.798292,0.25770617
58763.3635764,21.155987,0.2972629
58764.4122222,21.154749,0.29712605
58764.4451852,21.195755,0.301661
58765.1309491,21.041937,0.28465033
58765.3758102,21.227457,0.30516672
58765.425,20.85309,0.2637663
58768.131088,20.101238,0.17475401
58792.1604977,21.010118,0.28113174
58800.3042708,20.700523,0.24689412
58812.2414583,21.32309,0.31574273
58814.1525694,20.747017,0.25203562
58819.1598727,20.70094,0.24694014
58831.0973148,21.16439,0.29819226
58837.0810532,21.184954,0.3004663
58846.1148727,21.471144,0.33211565
58894.1079282,21.416359,0.3260572
58987.4672454,20.998497,0.27984643
58991.4627662,21.14946,0.2965412
58995.4715856,21.062735,0.28695035
59024.4703588,21.263512,0.30915403
59042.4670139,21.204506,0.30262876
59045.3654745,21.4191,0.32636023
59046.4475116,21.244274,0.30702662
59047.4293866,21.409927,0.32534575
59048.4314583,21.46688,0.3316443
59049.4360301,21.65935,0.35292912
59055.4477315,21.800894,0.36858225
59059.474375,21.639194,0.35070014
59060.4527778,21.77946,0.3662119
59066.470463,20.662703,0.24271154
59066.4937731,20.850378,0.26346636
59067.4310995,20.8023,0.2581494
59069.4296759,20.79479,0.25731897
59077.4742593,21.557528,0.3416686
59079.4305093,21.620674,0.3486519
59081.3871181,21.604534,0.34686708
59086.3608102,21.236597,0.30617762
59086.4247454,21.452883,0.33009624
59087.4219444,21.265217,0.30934262
59087.4270718,21.296446,0.31279612
59089.421875,21.266865,0.30952477
59089.453125,21.30441,0.31367707
59091.4722338,21.006733,0.2807572
59112.3531366,21.23409,0.30590034
59112.3723958,21.351738,0.31891084
59114.4079398,21.433968,0.32800436
59115.3345255,21.048698,0.28539824
59116.346088,20.834843,0.2617483
59117.3668403,21.055347,0.28613353
59118.2571759,20.98657,0.2785275
59118.3418981,21.122667,0.29357815
59140.2416204,21.384897,0.32257771
59166.3280324,21.271538,0.31004167
59168.1402315,21.162655,0.29800034
59172.1569097,21.228989,0.30533624
59193.2214005,21.118671,0.29313636
59216.1168981,20.75272,0.25266647
59218.1620486,21.068668,0.28760672
59218.1629861,20.957079,0.27526617
59219.176412,21.08779,0.28972125
59362.4646875,20.720667,0.24912167
59362.4686111,20.59523,0.23524976
59364.4615394,20.55388,0.23067713
59364.4674306,20.78262,0.25597286
59366.4633796,20.886288,0.26743746
59366.4674074,20.906036,0.26962137
59367.4645139,20.85638,0.26413012
59412.4289931,21.44258,0.32895684
59414.4498727,21.434904,0.32810807
59416.4152894,20.764593,0.25397944
59427.455,21.549566,0.34078836
59436.3851389,21.264925,0.3093102
59439.389294,21.091064,0.2900834
59442.4299884,21.38008,0.3220451
59466.382963,21.410692,0.3254304
59468.3553472,21.10417,0.29153275
59472.3901852,20.833393,0.26158786
59498.3279051,21.391636,0.323323
59517.24,21.26475,0.3092909
59520.2472106,21.246788,0.30730462
59522.301713,20.95145,0.27464366
59723.4735185,20.828081,0.2610004
59724.4771181,20.749567,0.25231767
59732.4633333,21.333538,0.3168981
59786.3877315,21.50759,0.33614612
59788.4292245,21.03379,0.28374958
59801.4670255,21.51511,0.33697772
59813.3811458,21.487555,0.3339305
59815.3894792,21.361986,0.32004404
59822.4669676,21.166718,0.29844975
59824.3836806,21.136047,0.295058
59826.4307292,21.36647,0.32053995
59846.4238773,21.45895,0.33076715
59848.3422106,21.298252,0.3129959
59854.3008218,21.70018,0.35744452
59871.1965625,21.171064,0.2989304
59873.1807292,20.904438,0.2694447
59877.3473495,21.378422,0.32186174
59902.1641551,21.463682,0.33129048
59936.1968634,21.225338,0.30493236
60079.4852199,20.494265,0.22415414
60087.4751389,20.608767,0.23674679
60093.4651852,21.061663,0.28683186
60093.4671528,20.985332,0.27839065
60093.4691204,20.936783,0.2730217
60093.471088,21.290163,0.31210136
60094.4676968,21.176311,0.29951072
60094.4696644,21.545015,0.34028506
60097.4686343,21.184032,0.3003645
60124.4490278,21.107536,0.29190493
