mjd,mag,magerr
58289.4733218,20.013351,0.19487447
58300.4211806,20.305609,0.21605238
58303.4671296,19.948864,0.18918031
58312.452581,21.160954,0.27156842
58315.4703009,20.372267,0.21905737
58321.4764236,20.804287,0.2447176
58324.4645602,20.94528,0.255332
58330.4324306,20.032352,0.19650847
58335.4514352,20.90085,0.25198722
58336.4463194,20.770617,0.24218285
58336.4467824,20.788992,0.24356616
58336.4721181,20.783333,0.2431401
58338.4747338,21.168787,0.27215815
58342.4739468,20.2982,0.21566232
58343.4779977,20.253551,0.21310179
58343.4790162,20.405415,0.22017302
58344.4537153,20.307697,0.21616054
58344.4637963,20.2586,0.21340844
58345.4661921,20.497154,0.22167227
58346.4317593,20.427818,0.22076622
58346.4326968,20.62692,0.23136497
58347.4227199,20.38466,0.21950641
58348.426956,20.689934,0.23610878
58349.4749537,20.752808,0.2408421
58349.4758912,21.109367,0.26768494
58350.4056134,20.814013,0.24544978
58351.3871296,21.126177,0.26895034
58352.4750926,21.018509,0.26084483
58352.4764352,21.069561,0.26468813
58353.4422801,20.63875,0.23225558
58353.4745602,20.869335,0.2496146
58354.4690856,20.781925,0.24303412
58354.4910069,21.112616,0.26792943
58355.4906713,20.503645,0.2220844
58355.4915972,20.319807,0.21677038
58356.4312037,20.249096,0.2128279
58356.4935648,20.152555,0.20619315
58357.4052894,20.226665,0.21140154
58358.426169,19.756683,0.1714412
58358.4270949,19.924942,0.18702051
58359.3197454,19.718914,0.16791104
58362.4000347,20.467728,0.2214697
58364.3619213,20.912884,0.2528931
58365.3902431,21.020824,0.2610191
58366.3629977,20.766834,0.24189806
58367.3821065,21.0873,0.26602352
58367.3922222,20.676575,0.23510313
58368.4291898,20.951075,0.25576818
58369.4050116,20.218048,0.21083346
58370.4143056,20.278755,0.21459
58370.4152778,20.218071,0.21083505
58371.4103588,20.362722,0.21868679
58372.3875,20.323238,0.2169379
58373.4514005,20.590843,0.22864902
58373.4523264,20.39862,0.21996686
58374.3899653,20.416721,0.2204894
58375.3703241,20.59459,0.22893095
58377.4235764,21.366684,0.28705633
58378.3951736,21.111778,0.26786637
58379.3767014,21.221895,0.2761563
58379.3778009,20.91124,0.25276935
58380.4316667,20.84856,0.24805057
58382.3612384,20.571178,0.22716856
58382.3684028,20.290564,0.2152493
58383.3895833,20.059952,0.19883877
58385.2988657,20.133144,0.2047199
58388.2865625,20.307379,0.21614401
58397.4065741,20.140789,0.20530483
58397.4075,20.458426,0.22134827
58423.3065162,20.520117,0.22332454
58423.3074306,20.133507,0.20474777
58424.248125,20.06452,0.19921911
58426.2640856,20.34239,0.21782826
58426.2650579,20.456013,0.22131246
58427.2328472,20.050566,0.1980523
58428.2635301,20.745396,0.24028409
58429.2633681,20.41121,0.2203394
58430.2029977,20.621136,0.2309295
58432.2757176,20.606586,0.2298342
58432.2767014,21.203232,0.2747513
58437.3018866,20.184654,0.20853528
58441.2944329,19.91949,0.18652543
58441.302581,19.888702,0.18371165
58450.3453241,20.226463,0.21138832
58455.3000579,20.561909,0.22647071
58455.3009722,20.692823,0.23632634
58456.1934491,20.25752,0.2133432
58461.2663079,20.537176,0.22460878
58464.2813889,19.985302,0.19242363
58464.2823032,20.297102,0.21560356
58465.2679861,19.970663,0.19112806
58466.2196875,19.498959,0.14771588
58468.2603588,20.565887,0.22677028
58472.1167014,20.409367,0.22028749
58474.154838,20.365917,0.21881315
58474.1557523,20.574594,0.2274257
58481.3000347,20.27711,0.21449609
58486.110706,20.96449,0.25677824
58486.1116319,20.740736,0.23993337
58487.1090509,20.934826,0.25454497
58490.1547106,20.791967,0.24379015
58491.1195023,20.43904,0.22101118
58493.1220833,20.428322,0.22077791
58493.1229977,20.380205,0.21934924
58510.1178819,20.066652,0.19939601
58511.1232292,20.631504,0.23171008
58514.1253125,20.714838,0.2379837
58523.1546296,20.370987,0.21900891
58540.1225579,21.024158,0.26127017
58633.4623264,20.559782,0.22631061
58633.4669213,20.676239,0.23507786
58639.4586458,20.574379,0.22740948
58639.4656597,20.436699,0.22096305
58639.4689468,20.987177,0.25848603
58642.4576389,20.094025,0.20163554
58642.4614352,20.010305,0.19461063
58642.4648148,20.30648,0.21609756
58642.4681713,20.168629,0.20738116
