mjd,mag,magerr
58362.502037,18.78444,0.06975126
58368.5019676,19.149603,0.09017432
58371.5211806,19.017818,0.082187906
58374.4624769,19.2333,0.09561817
58377.5006134,19.052252,0.08420599
58380.5212384,19.543072,0.11822986
58383.4575347,19.05422,0.08432288
58386.523044,19.100937,0.08714202
58389.4559259,19.604073,0.123106904
58422.4579398,19.15512,0.09052431
58425.3755556,18.930508,0.077284895
58427.3960648,19.282066,0.098923475
58430.3788657,19.192312,0.0929161
58431.4374769,19.052443,0.0842173
58434.3972222,19.145693,0.08992708
58437.4370486,19.314686,0.1011888
58438.4303009,19.089096,0.08641906
58439.4714583,19.106808,0.087502666
58443.3093519,19.346535,0.10344247
58443.3210301,19.313007,0.10107119
58466.3095023,19.251362,0.09683099
58472.2327662,18.902668,0.07578526
58487.2106713,18.887264,0.07496861
58491.2081713,19.417755,0.10862923
58495.2693171,18.943584,0.077999875
58509.2279167,19.145134,0.08989186
58523.2480787,19.444014,0.11059187
58547.2331597,19.179554,0.09208913
58560.1872454,19.006397,0.081529126
58726.4816319,19.364088,0.104702055
58733.4829282,19.252403,0.09690134
58736.4980093,19.028719,0.08282158
58739.5043981,18.835447,0.072288945
58744.5,19.01822,0.082211174
58747.503206,18.867094,0.073913194
58750.4560995,19.417017,0.10857445
58756.4578935,19.045303,0.08379492
58757.400706,19.376053,0.105567634
58759.4521181,19.088501,0.08638282
58763.4599421,18.890366,0.075132266
58766.4073727,19.342169,0.10313104
58768.4301968,19.250395,0.09676573
58775.4352546,19.319695,0.101540536
58778.5190394,18.900906,0.07569137
58789.4400347,19.59067,0.12202466
58792.5236574,19.182693,0.09229203
58799.5049653,18.770042,0.0690527
58802.5290278,18.832561,0.072142735
58805.4853241,19.379124,0.10579073
58812.4118403,19.51559,0.1160748
58830.2275347,19.155544,0.0905512
58831.3441204,19.0573,0.08450601
58861.3385995,19.068579,0.08517979
58864.1894097,19.014471,0.08199429
58867.2267361,19.521242,0.1165158
58872.210706,18.871166,0.07412501
58875.1704051,19.41311,0.108284876
58878.2314236,19.08471,0.08615266
58881.2295833,18.912054,0.07628746
58888.2504282,19.079632,0.08584523
58891.1677662,19.582266,0.12134905
58894.1685764,19.079887,0.085860714
58898.1689236,19.307907,0.1007145
58904.1303819,18.952604,0.07849695
59115.5027778,18.900543,0.07567208
59118.4820255,19.554867,0.11916295
59124.5022569,18.826721,0.07184783
59126.462037,19.14885,0.09012662
59128.4409838,19.287357,0.09928794
59130.5185995,18.991962,0.08070405
59135.4397222,19.552824,0.11900106
59137.4399769,19.139187,0.08951714
59141.4249421,19.323652,0.10181914
59145.4197222,19.173233,0.09168197
59150.4568519,19.688309,0.13003616
59151.464213,19.612904,0.123823166
59153.4537037,18.986689,0.08040471
59155.3722106,18.75532,0.06834632
59156.4503356,19.10658,0.08748873
59158.4586227,19.33306,0.10248392
59165.3796412,19.418606,0.10869232
59167.4105787,19.30308,0.100377806
59168.3929167,19.329529,0.102233976
59170.421088,18.87796,0.0744798
59173.3348032,19.261816,0.097539105
59176.3791088,19.331903,0.10240201
59185.400081,18.874271,0.07428697
59187.3564815,18.86774,0.07394676
59194.3159375,18.816542,0.07133685
59198.3152778,19.38475,0.10620047
59200.3032986,19.027315,0.082739666
59202.299375,18.761963,0.06866403
59203.334838,18.982273,0.08015494
59203.335787,18.975431,0.07976949
59204.3283218,19.302032,0.10030494
59210.365625,18.918163,0.0766162
59215.2549537,19.134851,0.089244895
59215.2561111,19.057066,0.08449204
59216.2532755,18.991985,0.08070533
59218.2692245,18.860622,0.073577896
59219.2138773,18.1298,0.044983465
59219.2148148,18.803385,0.070682354
59220.2573727,19.352991,0.10390431
59221.2947917,19.357092,0.10419853
59221.2957292,19.466621,0.112302944
59222.2946181,19.564838,0.11995562
59223.3171528,19.317904,0.1014146
59223.3180787,19.186472,0.092536665
59224.2031481,19.064178,0.084916286
59225.2424653,18.981426,0.08010715
59225.2429398,18.874573,0.07430265
59226.2963194,18.865704,0.07384099
59227.2437963,19.033041,0.08307412
59227.2442708,19.05078,0.08411872
59228.307419,19.445702,0.11071896
59229.2107639,19.168636,0.09138689
59230.2946065,19.277449,0.09860629
59231.2871991,19.116318,0.08808988
59231.287662,19.392612,0.10677519
59232.3682292,19.001482,0.08124725
59233.2950347,18.865204,0.07381508
59233.2968981,18.881834,0.074682936
59249.2134954,18.774017,0.06924477
59251.1665625,19.188938,0.09269671
59253.189838,19.372753,0.10532833
59255.1889699,19.205175,0.0937566
59257.1870023,18.915016,0.076446675
59260.3067708,19.235954,0.09579557
59263.166956,19.126781,0.08874019
59265.1690046,18.811583,0.07108937
59267.2130556,19.149805,0.09018715
59269.1903588,19.23937,0.09602433
59271.1901736,19.156,0.09058023
59273.149213,18.803123,0.07066937
59275.1487731,19.233337,0.095620714
59278.1902778,19.112387,0.08784668
59290.1747222,19.081284,0.085945144
59296.1711227,18.587978,0.060866114
59301.1966782,19.072874,0.08543786
59303.1986574,18.888107,0.075013064
59470.496713,19.050436,0.084098384
59473.4835532,19.483007,0.1135551
59475.4626736,19.151821,0.09031488
59479.480625,19.216698,0.09451536
59483.4436806,18.775852,0.069333695
59484.4215162,18.78038,0.06955352
59488.4838194,19.444202,0.110606045
59496.3943981,19.433092,0.10977228
59498.4435069,19.277943,0.098640226
59509.3901852,18.971638,0.07955653
59512.4419907,19.460392,0.11182949
59518.3562037,19.25755,0.09724949
59522.3720949,19.248611,0.09664545
59524.3374537,18.880714,0.07462413
59526.4447338,19.324991,0.101913534
59530.4003588,19.18201,0.09224786
59532.3017593,19.0239,0.082540736
59540.3970486,18.865227,0.073816255
59623.2125231,19.561172,0.11966385
59625.1899074,19.061096,0.08473222
59630.1341435,19.465702,0.112233
59636.1871528,19.714027,0.13219187
59828.4756481,19.3036,0.10041409
59839.5004051,18.998217,0.08106047
59842.461169,19.640575,0.12608351
59846.4998611,18.932127,0.07737303
59848.4577546,19.020607,0.08234954
59850.4691088,19.51093,0.11571198
59853.4985069,19.038183,0.083375655
59856.4395602,19.306068,0.100586124
59858.4610764,19.519688,0.116394386
59860.5008912,19.155283,0.09053462
59866.4452662,19.353851,0.10396591
