mjd,mag,magerr
58303.4557639,21.06205,0.19378889
58311.3598843,21.444023,0.22403061
58316.3939583,21.21178,0.20564342
58319.4107986,21.129211,0.19910622
58346.3681713,21.75362,0.24854219
58349.4076157,21.594027,0.23590672
58351.4396296,21.71811,0.24573064
58352.4195833,22.017529,0.26943648
58364.2638194,21.237577,0.20768583
58364.2795718,20.98449,0.1876483
58365.3991551,21.227686,0.20690274
58366.4099537,21.032309,0.19143426
58366.4199306,21.157612,0.20135474
58366.438287,20.947933,0.18475401
58367.4151389,21.403427,0.22081661
58367.4165509,21.06704,0.19418395
58367.4199884,21.032227,0.19142771
58367.4386458,21.327608,0.21481383
58368.4164352,21.501442,0.22857666
58369.4736343,21.496101,0.22815382
58370.3392708,21.750328,0.2482816
58370.3644213,21.612202,0.2373457
58370.3653356,21.107311,0.19737232
58370.3803009,21.648958,0.24025583
58373.3841435,21.473312,0.22634959
58374.4231829,21.56557,0.2336539
58374.4587153,21.46472,0.22566926
58375.306169,21.190018,0.20392036
58376.3072454,21.794718,0.251796
58376.3217708,21.635418,0.23918378
58376.3226968,21.51303,0.22949398
58376.4481944,21.316912,0.21396697
58377.35,21.789413,0.25137603
58378.3277778,21.571568,0.2341286
58378.3459954,21.586485,0.23530972
58380.3703125,22.255085,0.28824437
58397.3620255,21.248756,0.20857096
58397.3629514,21.420938,0.22220302
58426.3175926,20.58033,0.1556499
58426.3367245,21.216724,0.2060349
58428.2232639,21.462034,0.2254566
58429.2292245,21.396732,0.22028649
58429.2434606,21.398943,0.22046149
58430.2548958,21.249557,0.20863438
58430.2714699,21.453209,0.22475791
58430.2925,21.484224,0.2272135
58644.4512731,21.358444,0.21725512
58676.4282639,21.475908,0.22655511
58677.4482292,21.342846,0.21602023
58677.4694792,21.294779,0.21221459
58678.4554282,21.314415,0.2137692
58696.4143287,21.899376,0.260082
58696.4253472,21.727303,0.24645853
58696.4582755,21.802616,0.25242126
58697.4829398,21.783646,0.25091934
58698.4795023,21.570335,0.23403108
58699.4498843,21.697071,0.24406505
58700.4808218,21.749043,0.2481798
58703.4809375,21.680794,0.2427764
58706.451794,21.522562,0.23024881
58706.4527315,21.712738,0.24530542
58706.4779167,21.472633,0.22629583
58707.4240162,20.90789,0.18158376
58707.4559722,20.802608,0.17324829
58708.4316667,20.849358,0.1769495
58720.4064583,21.25423,0.20900428
58722.4130903,21.469835,0.22607422
58722.4196412,21.324133,0.2145387
58723.4216088,21.620926,0.23803651
58724.43,21.31698,0.21397233
58724.4481829,21.58431,0.23513758
58725.4423958,21.5224,0.23023593
58727.3896528,21.742302,0.2476461
58736.4638426,21.604567,0.2367413
58736.4833102,21.342464,0.21598995
58741.4954745,20.35938,0.13461766
58748.2564583,21.31285,0.21364546
58749.3270139,21.518171,0.22990108
58749.3393287,21.320782,0.21427333
58750.3683912,21.173649,0.20262444
58750.3813889,21.31501,0.2138164
58751.2522338,21.061907,0.19377756
58751.4041088,21.415043,0.2217362
58754.2887963,21.179924,0.2031213
58756.4038889,21.726002,0.24635553
