mjd,mag,magerr
58274.4771759,20.742357,0.2178595
58280.4753356,20.772552,0.22115564
58283.4695833,20.886868,0.23363495
58289.4714352,20.85464,0.23011684
58293.4715162,21.102161,0.25713778
58299.4157755,20.533138,0.19501972
58303.4828241,20.661427,0.20902443
58305.4310532,20.94236,0.23969293
58312.4204282,21.046328,0.2510426
58312.4213426,20.919346,0.23718047
58312.4535069,20.942488,0.23970675
58316.4528356,20.874828,0.23232079
58316.4671644,21.143555,0.26165652
58318.3603356,21.019207,0.24808192
58319.4507986,21.086723,0.2554524
58319.4675347,21.257011,0.27404213
58320.3841319,21.057358,0.25224662
58321.4754514,21.043064,0.2506864
58322.4089815,20.994734,0.2454102
58322.4880671,21.122545,0.25936294
58324.4655556,21.32288,0.2812326
58324.4665046,20.978302,0.24361658
58330.3827546,20.470629,0.18661642
58331.4077894,20.704403,0.21371603
58331.4222454,20.9058,0.2357018
58336.3988773,20.781923,0.2221787
58343.4719329,21.028019,0.24904394
58346.4051157,20.964016,0.24205685
58347.4047454,21.235126,0.27165294
58347.4237616,20.970503,0.24276519
58348.4097801,20.839392,0.2284522
58348.4285185,20.8569,0.23036337
58349.3456019,20.765186,0.22035146
58349.4668981,20.921074,0.23736906
58349.4678125,21.119976,0.25908256
58349.4804282,20.952847,0.24083757
58350.393125,21.16238,0.2637117
58350.4024421,21.260746,0.27444983
58351.3673495,20.943563,0.2398243
58351.3866435,21.043629,0.25074792
58351.481169,20.91452,0.2366538
58352.4689352,21.342258,0.28334808
58352.4698843,21.159224,0.26336694
58352.4804282,21.09641,0.25651002
58353.4310301,21.099306,0.25682592
58353.4552315,21.12342,0.25945854
58353.471794,21.14079,0.26135468
58354.4892708,21.522486,0.30302286
58355.4694213,20.921299,0.23739362
58355.5032986,21.152021,0.26258063
58361.3048958,20.548887,0.19673896
58361.349375,21.05074,0.2515242
58363.2780671,20.842562,0.22879839
58363.4326042,20.943457,0.23981261
58364.3407407,20.590338,0.20126414
58364.3416782,20.724844,0.21594763
58364.3614352,20.661533,0.20903611
58365.3482407,20.667881,0.2097292
58365.3579745,20.80579,0.22478414
58365.3931134,20.585068,0.20068884
58366.3473958,20.797184,0.22384453
58366.3615394,20.787846,0.22282529
58366.3812963,21.028074,0.2490499
58367.3381944,21.071962,0.25384092
58367.3873611,20.75055,0.21875358
58367.3888426,20.976086,0.24337459
58368.3161111,20.792551,0.22333884
58368.3455324,20.652054,0.20800138
58369.3853241,20.63755,0.20641804
58369.411956,20.638474,0.20651889
58370.4090972,20.83639,0.22812462
58370.4104977,20.762152,0.2200203
58370.4311111,20.695263,0.21271825
58371.4272917,20.892561,0.2342565
58373.3056944,20.87769,0.23263311
58373.4528125,20.615213,0.20397973
