mjd,mag,magerr
58280.4525579,20.69666,0.21987474
58286.4513079,21.33698,0.28791463
58291.4209606,21.205494,0.27394307
58292.452662,21.620865,0.31807983
58293.4494676,21.153505,0.2684189
58312.4721991,20.993595,0.25142682
58312.473831,21.092281,0.26191318
58316.3939583,21.107426,0.2635225
58316.4113773,20.825035,0.23351586
58317.3746181,21.14452,0.26746404
58317.3798148,21.208282,0.27423942
58318.421331,21.22102,0.27559292
58318.4500579,21.556774,0.31126964
58318.4516204,21.173023,0.27049267
58319.3959144,21.114193,0.26424158
58319.4227546,21.27226,0.2810377
58321.4170718,21.468391,0.30187833
58321.4363079,21.478958,0.30300105
58321.4544676,21.321163,0.28623402
58343.4043519,21.039371,0.25629103
58346.3681713,21.080008,0.26060903
58349.3918519,21.345694,0.2888404
58349.4076157,21.285124,0.28240454
58350.4278009,21.10801,0.2635845
58352.408831,21.300634,0.2840525
58352.4098032,21.424492,0.29721344
58352.4195833,21.28836,0.28274834
58366.438287,21.40082,0.29469812
58367.4199884,21.28352,0.28223407
58368.4164352,21.65776,0.32200038
58369.4454051,21.680012,0.32436478
58370.3392708,21.548294,0.31036866
58372.4247222,21.290682,0.2829951
58373.3832176,21.132423,0.26617873
58374.4231829,21.214924,0.27494514
58374.4587153,21.18871,0.27215946
58375.42625,21.084751,0.26111305
58375.4588194,21.152374,0.2682985
58376.3072454,21.491337,0.3043164
58376.3217708,21.183979,0.27165687
58376.3226968,21.156422,0.2687286
58377.35,21.355143,0.28984463
58378.3277778,21.805277,0.3376752
58379.3482407,21.545246,0.31004465
58379.3688657,21.563736,0.31200945
58380.3703125,21.35325,0.2896434
58382.4056597,21.232174,0.2767781
58382.4478819,21.257454,0.27946436
58426.3549769,21.276962,0.28153718
58429.2425463,21.654072,0.32160842
58430.2925,21.698265,0.32630432
58434.1521296,21.123652,0.2652465
58674.4503588,21.481863,0.3033098
58690.4502546,21.05715,0.25818026
58695.3982755,21.439205,0.29877698
58695.4523495,21.321182,0.28623593
58696.4253472,21.401121,0.29473007
58696.4276736,21.625551,0.3185779
58697.4829398,21.593292,0.31515014
58699.4498843,21.652073,0.321396
58699.4521759,21.558613,0.31146514
58699.4607292,21.895058,0.3472153
58700.4808218,21.541218,0.30961668
58703.4809375,21.749748,0.33177483
58706.4527315,22.086554,0.36756337
58717.4038079,20.734707,0.22391784
58718.4072454,20.801044,0.23096669
58718.4194444,20.79855,0.23070157
58722.4130903,22.007744,0.35918915
58723.4098264,21.240059,0.2776159
58723.4216088,21.402617,0.2948891
58723.4619676,21.362892,0.2906679
58724.4290972,21.419403,0.2966727
58724.43,21.1894,0.2722329
58724.4481829,21.158842,0.26898587
58725.3981481,21.621813,0.31818068
58725.4423958,21.364918,0.29088318
58727.3896528,21.279778,0.2818364
58727.4209259,21.378357,0.2923113
58727.4458102,21.567558,0.31241572
58747.3197454,20.89522,0.24097359
58747.3206944,20.894833,0.24093258
58748.2564583,20.91869,0.24346745
58748.5058912,20.868956,0.2381829
58749.3393287,21.187284,0.27200806
58760.3694329,21.38772,0.29330623
58763.3880556,21.29812,0.28378546
58764.3824537,21.75738,0.3325857
58776.1594676,21.088655,0.2615279
58778.1600926,20.973022,0.249241
58779.1598958,20.86096,0.23733318
58782.1586458,21.089123,0.2615775
58790.2698843,21.26984,0.28078043
58791.2601968,21.108828,0.26367128
58838.1346181,20.24328,0.16447626
58849.0861111,21.511814,0.3064922
58849.0890394,20.937504,0.24546683
58894.1027199,22.01549,0.36001217
59051.4511343,21.590893,0.31489503
59052.4784606,21.556444,0.3112346
59053.4250116,21.07912,0.26051486
59054.4716551,21.43963,0.29882205
59054.4854514,21.267302,0.28051054
59055.4301042,21.341373,0.28838146
59056.45375,21.28083,0.2819482
59057.4299537,21.1362,0.26658
59060.4721065,21.269289,0.28072178
59060.4832639,21.638983,0.32000506
59061.471956,21.28415,0.28230083
59077.3900347,21.718452,0.32844937
59079.4685532,21.620052,0.31799352
59084.350787,21.148176,0.26785243
59085.3615394,21.074797,0.26005542
59085.3819444,21.082916,0.26091802
59086.4720139,21.27182,0.28099072
59087.4022917,21.15773,0.2688676
59090.4213889,21.042892,0.2566651
59095.3060764,20.360819,0.17961857
59114.3283102,20.97337,0.24927771
59115.4296644,21.250862,0.2787639
59116.2635417,21.228764,0.2764157
59117.2890046,21.08603,0.26124895
59118.4333796,21.152302,0.26829088
59119.2426736,20.883638,0.23974311
59144.3243519,21.524994,0.30789268
59178.1812616,21.098984,0.26262534
59395.4323611,20.407152,0.18589185
59399.4196759,20.892872,0.2407242
59401.4126852,20.93494,0.24519432
59424.4456944,20.85167,0.23634613
59427.4705208,20.66622,0.21664035
59429.4233565,21.35801,0.2901491
59460.3805787,21.075932,0.26017582
59464.4375231,21.358551,0.2902068
59466.4071296,21.233147,0.27688134
59468.4358218,21.325836,0.2867304
59474.4142245,21.569143,0.31258404
59517.2265741,21.618732,0.31785333
59520.3046991,21.176216,0.27083194
59524.3067245,21.199142,0.2732681
59550.2196296,21.033476,0.2556647
59764.4277083,21.432426,0.29805672
59784.4039583,21.479889,0.3031
59798.4109259,21.162626,0.26938808
59806.4538426,20.705921,0.22085893
59839.3060532,21.396675,0.29425776
59840.361412,21.430538,0.29785597
59858.4105208,20.860899,0.23732674
59864.3934028,20.120207,0.14980234
59900.2069907,20.268978,0.16769233
